time,SlowD,SlowK
2019-03-27,35.0775,29.5357
2019-03-26,45.6214,28.6709
2019-03-25,63.3520,47.0258
2019-03-22,75.9449,61.1676
2019-03-21,84.5350,81.8628
2019-03-20,87.0514,84.8042
2019-03-19,87.7808,86.9381
2019-03-18,89.3876,89.4119
2019-03-15,90.9276,86.9926
2019-03-14,87.3286,91.7584
2019-03-13,73.5503,94.0318
2019-03-12,52.5127,76.1956
2019-03-11,37.2324,50.4235
2019-03-08,35.4359,30.9190
2019-03-07,43.6009,30.3549
2019-03-06,55.0523,45.0340
2019-03-05,64.2340,55.4139
2019-03-04,71.8917,64.7090
2019-03-01,79.2691,72.5792
2019-02-28,85.3690,78.3868
2019-02-27,90.7363,86.8412
2019-02-26,88.8059,90.8789
2019-02-25,84.3379,94.4887
2019-02-22,78.6038,81.0500
2019-02-21,80.1641,77.4751
2019-02-20,81.5662,77.2864
2019-02-19,82.3333,85.7308
2019-02-15,75.6067,81.6815
2019-02-14,69.3411,79.5875
2019-02-13,60.2213,65.5510
2019-02-12,60.4366,62.8848
2019-02-11,65.3784,52.2281
2019-02-08,76.6877,66.1969
2019-02-07,76.6009,77.7100
2019-02-06,66.0760,86.1563
2019-02-05,51.5180,65.9365
2019-02-04,43.6276,46.1351
2019-02-01,39.3891,42.4825
2019-01-31,36.6188,42.2650
2019-01-30,37.5183,33.4196
2019-01-29,46.8171,34.1718
2019-01-28,54.4359,44.9634
2019-01-25,64.1552,61.3162
2019-01-24,71.5885,57.0282
2019-01-23,82.6022,74.1211
2019-01-22,88.1190,83.6162
2019-01-18,82.8303,90.0694
2019-01-17,71.4110,90.6714
2019-01-16,57.5180,67.7501
2019-01-15,59.0692,55.8115
2019-01-14,68.6057,48.9924
2019-01-11,80.5935,72.4038
2019-01-10,84.4464,84.4209
2019-01-09,76.9515,84.9558
2019-01-08,69.7940,83.9625
2019-01-07,63.0767,61.9361
2019-01-04,69.7559,63.4833
2019-01-03,74.2554,63.8106
2019-01-02,74.3165,81.9737
2018-12-31,60.5492,76.9820
2018-12-28,41.6034,63.9937
2018-12-27,24.2043,40.6720
2018-12-26,17.1810,20.1446
2018-12-24,18.7183,11.7964
2018-12-21,21.5154,19.6020
2018-12-20,22.2015,24.7565
2018-12-19,26.9136,20.1877
2018-12-18,39.5912,21.6602
2018-12-17,54.5263,38.8930
2018-12-14,59.6601,58.2204
2018-12-13,51.1710,66.4656
2018-12-12,39.4923,54.2942
2018-12-11,28.8759,32.7531
2018-12-10,34.0839,31.4297
2018-12-07,44.5908,22.4449
2018-12-06,66.5271,48.3772
2018-12-04,81.4027,62.9502
2018-12-03,91.8803,88.2539
2018-11-30,92.7587,93.0040
2018-11-29,85.5295,94.3829
2018-11-28,71.3777,90.8891
2018-11-27,52.5517,71.3165
2018-11-26,38.1452,51.9275
2018-11-23,33.8623,34.4110
2018-11-21,37.6344,28.0971
2018-11-20,41.9966,39.0789
2018-11-19,36.1741,45.7271
2018-11-16,24.5626,41.1839
2018-11-15,20.1787,21.6113
2018-11-14,31.1596,10.8926
2018-11-13,55.0018,28.0322
2018-11-12,74.5981,54.5540
2018-11-09,85.2326,82.4192
2018-11-08,83.7228,86.8210
2018-11-07,80.3192,86.4576
2018-11-06,74.9244,77.8897
2018-11-05,68.9511,76.6102
2018-11-02,59.2022,70.2734
2018-11-01,50.1052,59.9697
2018-10-31,48.0943,47.3636
2018-10-30,47.8908,42.9822
2018-10-29,47.4395,53.9370
2018-10-26,40.3192,46.7530
2018-10-25,38.6324,41.6286
2018-10-24,37.2436,32.5760
2018-10-23,43.3522,41.6927
2018-10-22,52.8581,37.4621
2018-10-19,64.4801,50.9018
2018-10-18,68.8364,70.2103
2018-10-17,58.5246,72.3281
2018-10-16,43.7110,63.9706
2018-10-15,29.7076,39.2749
2018-10-12,24.2710,27.8873
2018-10-11,25.1605,21.9606
2018-10-10,26.1150,22.9652
2018-10-09,30.9153,30.5559
2018-10-08,37.7679,24.8240
2018-10-05,54.4215,37.3660
2018-10-04,68.5988,51.1138
2018-10-03,78.5504,74.7848
2018-10-02,76.6675,79.8977
2018-10-01,73.6599,80.9688
2018-09-28,71.8591,69.1361
2018-09-27,75.6449,70.8749
2018-09-26,80.0636,75.5664
2018-09-25,76.1679,80.4935
2018-09-24,71.5252,84.1307
2018-09-21,63.0011,63.8795
2018-09-20,68.8519,66.5654
2018-09-19,74.2075,58.5583
2018-09-18,85.5456,81.4319
2018-09-17,89.1121,82.6322
2018-09-14,87.6174,92.5726
2018-09-13,73.9979,92.1314
2018-09-12,52.9011,78.1483
2018-09-11,32.3360,51.7141
2018-09-10,25.7613,28.8409
2018-09-07,34.1634,16.4529
2018-09-06,55.4272,31.9901
2018-09-05,75.4596,54.0472
2018-09-04,88.7547,80.2445
2018-08-31,94.6544,92.0870
2018-08-30,95.9887,93.9326
2018-08-29,94.3861,97.9436
2018-08-28,85.0682,96.0898
2018-08-27,66.3574,89.1250
2018-08-24,43.0526,69.9899
2018-08-23,24.7402,39.9573
2018-08-22,19.0876,19.2106
2018-08-21,21.8197,15.0528
2018-08-20,30.6726,22.9993
2018-08-17,34.3603,27.4070
2018-08-16,39.9402,41.6114
2018-08-15,42.2998,34.0625
2018-08-14,57.1052,44.1466
2018-08-13,72.9307,48.6903
2018-08-10,87.9717,78.4786
2018-08-09,93.5048,91.6232
2018-08-08,89.8796,93.8133
2018-08-07,78.0199,95.0779
2018-08-06,57.0896,80.7477
2018-08-03,36.2362,58.2342
2018-08-02,23.6115,32.2871
2018-08-01,25.0986,18.1875
2018-07-31,40.8463,20.3600
2018-07-30,60.9358,36.7484
2018-07-27,78.3226,65.4304
2018-07-26,81.6629,80.6285
2018-07-25,73.6117,88.9088
2018-07-24,59.3261,75.4515
2018-07-23,53.3700,56.4747
2018-07-20,60.5374,46.0520
2018-07-19,74.8264,57.5834
2018-07-18,85.8877,77.9768
2018-07-17,90.6011,88.9191
2018-07-16,90.8730,90.7671
2018-07-13,89.9988,92.1170
2018-07-12,89.4921,89.7348
2018-07-11,88.1249,88.1445
2018-07-10,83.1242,90.5970
2018-07-09,77.9049,85.6331
2018-07-06,71.3607,73.1425
2018-07-05,67.4152,74.9391
2018-07-03,52.5523,66.0006
2018-07-02,39.1945,61.3058
2018-06-29,25.3850,30.3503
2018-06-28,24.9256,25.9274
2018-06-27,28.3165,19.8773
2018-06-26,40.1854,28.9721
2018-06-25,51.6045,36.1002
2018-06-22,60.6130,55.4839
2018-06-21,54.7191,63.2295
2018-06-20,46.6928,63.1257
2018-06-19,34.8315,37.8020
2018-06-18,35.5447,39.1507
2018-06-15,32.4512,27.5420
2018-06-14,36.9790,39.9415
2018-06-13,38.2982,29.8701
2018-06-12,50.5565,41.1255
2018-06-11,63.8097,43.8988
2018-06-08,81.3958,66.6451
2018-06-07,91.4920,80.8851
2018-06-06,93.1752,96.6573
2018-06-05,88.9194,96.9335
2018-06-04,80.7339,85.9348
2018-06-01,77.6430,83.8897
2018-05-31,73.9824,72.3771
2018-05-30,77.9430,76.6622
2018-05-29,79.8836,72.9080
2018-05-25,83.3750,84.2587
2018-05-24,74.2989,82.4840
2018-05-23,59.2444,83.3821
2018-05-22,38.6990,57.0306
2018-05-21,31.8075,37.3206
2018-05-18,39.2227,21.7458
2018-05-17,58.1530,36.3562
2018-05-16,76.3068,59.5663
2018-05-15,88.6647,78.5367
2018-05-14,93.3097,90.8174
2018-05-11,92.6713,96.6401
2018-05-10,86.6855,92.4714
2018-05-09,76.6283,88.9024
2018-05-08,59.4933,78.6827
2018-05-07,45.0165,62.2999
2018-05-04,37.4223,37.4973
2018-05-03,44.6083,35.2523
2018-05-02,52.8042,39.5173
2018-05-01,58.1759,59.0551
2018-04-30,50.6498,59.8401
2018-04-27,40.5008,55.6325
2018-04-26,33.2422,36.4767
2018-04-25,39.4832,29.3931
2018-04-24,53.6888,33.8567
2018-04-23,71.6758,55.1999
2018-04-20,83.1402,72.0098
2018-04-19,86.2929,87.8178
2018-04-18,83.8313,89.5929
2018-04-17,78.3198,81.4679
2018-04-16,78.1490,80.4331
2018-04-13,74.7983,73.0584
2018-04-12,72.4055,80.9556
2018-04-11,66.8109,70.3808
2018-04-10,68.7332,65.8800
2018-04-09,69.9194,64.1720
2018-04-06,63.4050,76.1477
2018-04-05,48.4744,69.4385
2018-04-04,35.7609,44.6286
2018-04-03,33.1415,31.3560
2018-04-02,39.8502,31.2980
2018-03-29,43.5528,36.7705
2018-03-28,42.3858,51.4820
2018-03-27,26.8916,42.4058
2018-03-26,17.6977,33.2697
2018-03-23,12.9888,4.9993
2018-03-22,20.9056,14.8241
2018-03-21,25.5146,19.1429
2018-03-20,28.0344,28.7499
2018-03-19,27.4660,28.6510
2018-03-16,33.6177,26.7022
2018-03-15,50.4902,27.0449
2018-03-14,72.0300,47.1058
2018-03-13,85.7792,77.3197
2018-03-12,83.9876,91.6644
2018-03-09,74.2617,88.3535
2018-03-08,61.5409,71.9449
2018-03-07,51.4615,62.4866
2018-03-06,44.3096,50.1911
2018-03-05,43.4136,41.7069
2018-03-02,53.5681,41.0307
2018-03-01,69.0457,47.5030
2018-02-28,79.6046,72.1706
2018-02-27,77.6284,87.4635
2018-02-26,69.0703,79.1797
2018-02-23,67.1783,66.2419
2018-02-22,73.9043,61.7894
2018-02-21,83.3554,73.5036
2018-02-20,89.1090,86.4200
2018-02-16,86.9424,90.1427
2018-02-15,77.8349,90.7644
2018-02-14,60.4275,79.9200
2018-02-13,43.6980,62.8203
2018-02-12,33.7804,38.5420
2018-02-09,31.6539,29.7317
2018-02-08,28.6677,33.0675
2018-02-07,24.3713,32.1627
2018-02-06,30.0988,20.7731
2018-02-05,42.2725,20.1783
2018-02-02,55.3623,49.3450
2018-02-01,60.1189,57.2941
2018-01-31,66.7644,59.4479
2018-01-30,72.2947,63.6146
2018-01-29,75.1842,77.2306
2018-01-26,76.7462,76.0389
2018-01-25,80.2930,72.2830
2018-01-24,84.1841,81.9166
2018-01-23,82.8604,86.6794
2018-01-22,75.4696,83.9564
2018-01-19,70.3587,77.9454
2018-01-18,64.4514,64.5070
2018-01-17,65.9884,68.6237
2018-01-16,64.8973,60.2235
2018-01-12,70.3584,69.1179
2018-01-11,76.6869,65.3503
2018-01-10,83.4853,76.6070
2018-01-09,86.2409,88.1033
2018-01-08,82.8795,85.7455
2018-01-05,78.0858,84.8739
2018-01-04,71.3773,78.0189
2018-01-03,65.9558,71.3645
2018-01-02,61.3635,64.7485
2017-12-29,54.6296,61.7545
2017-12-28,45.0517,57.5876
2017-12-27,35.8774,44.5467
2017-12-26,32.7155,33.0208
2017-12-22,37.1624,30.0647
2017-12-21,49.1064,35.0610
2017-12-20,60.0892,46.3615
2017-12-19,69.5828,65.8969
2017-12-18,72.3442,68.0093
2017-12-15,79.6026,74.8424
2017-12-14,85.3011,74.1810
2017-12-13,86.0784,89.7846
2017-12-12,76.5208,91.9377
2017-12-11,58.6822,76.5128
2017-12-08,42.1145,61.1119
2017-12-07,31.4528,38.4219
2017-12-06,32.7866,26.8096
2017-12-05,39.7584,29.1268
2017-12-04,49.8112,42.4235
2017-12-01,59.0593,47.7248
2017-11-30,70.6320,59.2854
2017-11-29,73.9254,70.1676
2017-11-28,73.4646,82.4429
2017-11-27,63.8171,69.1657
2017-11-24,53.7278,68.7851
2017-11-22,37.5065,53.5003
2017-11-21,26.6871,38.8978
2017-11-20,27.2519,20.1213
2017-11-17,35.7788,21.0423
2017-11-16,47.3482,40.5920
2017-11-15,51.5397,45.7020
2017-11-14,57.2945,55.7505
2017-11-13,61.9566,53.1667
2017-11-10,70.5759,62.9663
2017-11-09,75.3842,69.7369
2017-11-08,74.2055,79.0245
2017-11-07,66.8311,77.3912
2017-11-06,58.5706,66.2009
2017-11-03,58.1019,56.9011
2017-11-02,61.9947,52.6099
2017-11-01,66.2141,64.7946
2017-10-31,65.5416,68.5796
2017-10-30,64.1698,65.2681
2017-10-27,66.3914,62.7771
2017-10-26,72.3741,64.4642
