time,MFI
2018-12-14,59.3718
2018-12-13,82.3017
2018-12-12,82.3983
2018-12-11,83.8252
2018-12-10,84.5259
2018-12-07,100.0000
2018-12-06,91.0989
2018-12-04,89.9100
2018-12-03,88.9927
2018-11-30,88.6731
2018-11-29,72.1171
2018-11-28,67.8452
2018-11-27,45.9650
2018-11-26,51.8441
2018-11-23,51.1252
2018-11-21,63.5724
2018-11-20,77.2364
2018-11-19,100.0000
2018-11-16,76.7013
2018-11-15,55.6236
2018-11-14,59.5485
2018-11-13,62.5911
2018-11-12,64.1151
2018-11-09,62.4281
2018-11-08,79.1563
2018-11-07,79.5408
2018-11-06,79.5502
2018-11-05,58.5497
2018-11-02,81.0335
2018-11-01,86.3823
2018-10-31,88.3655
2018-10-30,89.6851
2018-10-29,100.0000
2018-10-26,94.8642
2018-10-25,82.0474
2018-10-24,67.9071
2018-10-23,59.3262
2018-10-22,48.1621
2018-10-19,62.7968
2018-10-18,85.3794
2018-10-17,80.2005
2018-10-16,52.9980
2018-10-15,55.1777
2018-10-12,36.2043
2018-10-11,18.8144
2018-10-10,18.0448
2018-10-09,19.0444
2018-10-08,-0.0000
2018-10-05,33.1364
2018-10-04,27.3885
2018-10-03,38.4069
2018-10-02,48.2644
2018-10-01,59.2522
2018-09-28,46.5513
2018-09-27,83.8922
2018-09-26,83.1028
2018-09-25,83.1304
2018-09-24,49.2312
2018-09-21,51.5182
2018-09-20,64.4808
2018-09-19,63.4973
2018-09-18,64.7016
2018-09-17,77.3706
2018-09-14,80.7532
2018-09-13,50.8660
2018-09-12,51.6665
2018-09-11,36.6475
2018-09-10,36.9040
2018-09-07,26.3124
2018-09-06,35.5521
2018-09-05,15.1696
2018-09-04,14.8534
2018-08-31,12.8448
2018-08-30,9.5333
2018-08-29,24.1829
2018-08-28,41.8963
2018-08-27,68.2694
2018-08-24,62.9372
2018-08-23,40.9926
2018-08-22,31.5889
2018-08-21,20.4837
2018-08-20,-0.0000
2018-08-17,21.6447
2018-08-16,24.2126
2018-08-15,19.1628
2018-08-14,50.5053
2018-08-13,70.4458
2018-08-10,60.9816
2018-08-09,73.6321
2018-08-08,91.8077
2018-08-07,90.1323
2018-08-06,85.2949
2018-08-03,89.6700
2018-08-02,77.1103
2018-08-01,61.6964
2018-07-31,57.8723
2018-07-30,35.2611
2018-07-27,31.1931
2018-07-26,31.4103
2018-07-25,18.1731
2018-07-24,15.7355
2018-07-23,37.1837
2018-07-20,40.4444
2018-07-19,39.5644
2018-07-18,39.8440
2018-07-17,22.5533
2018-07-16,28.5600
2018-07-13,51.0577
2018-07-12,70.8052
2018-07-11,54.1951
2018-07-10,46.9066
2018-07-09,24.5951
2018-07-06,13.1921
2018-07-05,14.1074
2018-07-03,31.6223
2018-07-02,48.9625
2018-06-29,64.6514
2018-06-28,59.0028
2018-06-27,38.4965
2018-06-26,39.1043
2018-06-25,18.6441
2018-06-22,40.6805
2018-06-21,60.5969
2018-06-20,76.9897
2018-06-19,60.9858
2018-06-18,85.9437
2018-06-15,85.8976
2018-06-14,73.0672
2018-06-13,73.9012
2018-06-12,89.5679
2018-06-11,77.2027
2018-06-08,73.1015
2018-06-07,88.4910
2018-06-06,72.0286
2018-06-05,59.9732
2018-06-04,79.9649
2018-06-01,79.1127
2018-05-31,78.0061
2018-05-30,78.3238
2018-05-29,48.0047
2018-05-25,53.9158
2018-05-24,37.9992
2018-05-23,38.6334
2018-05-22,54.9624
2018-05-21,53.8443
2018-05-18,29.5400
2018-05-17,31.4796
2018-05-16,34.8452
2018-05-15,35.6742
2018-05-14,59.6114
2018-05-11,84.7710
2018-05-10,100.0000
2018-05-09,63.8016
2018-05-08,66.2058
2018-05-07,65.2036
2018-05-04,61.4646
2018-05-03,57.3881
2018-05-02,100.0000
2018-05-01,81.9644
2018-04-30,57.7939
2018-04-27,37.6790
2018-04-26,17.5425
2018-04-25,23.7894
2018-04-24,44.4912
2018-04-23,42.4512
2018-04-20,40.3385
2018-04-19,60.5122
2018-04-18,40.2203
2018-04-17,42.1452
2018-04-16,65.3879
2018-04-13,59.5088
2018-04-12,64.5865
2018-04-11,83.5338
2018-04-10,85.9813
2018-04-09,86.9902
2018-04-06,83.3011
2018-04-05,83.2300
