time,SAR
2018-11-09,125.6655

2018-11-08,124.6166

2018-11-07,123.8470

2018-11-06,123.3353

2018-11-05,122.8132

2018-11-02,122.2804

2018-11-01,122.0500

2018-10-31,140.0357

2018-10-30,141.5997

2018-10-29,143.2996

2018-10-26,145.1474

2018-10-25,147.1559

2018-10-24,149.3390

2018-10-23,151.1226

2018-10-22,153.0404

2018-10-19,154.7536

2018-10-18,156.2312

2018-10-17,157.7865

2018-10-16,159.4237

2018-10-15,161.1471

2018-10-12,162.9611

2018-10-11,164.8706

2018-10-10,166.4065

2018-10-09,167.2823

2018-10-08,168.1851

2018-10-05,168.7385

2018-10-04,168.9500

2018-10-03,152.1894

2018-10-02,150.9279

2018-10-01,149.5713

2018-09-28,148.1127

2018-09-27,146.5443

2018-09-26,144.8579

2018-09-25,143.0445

2018-09-24,141.0946

2018-09-21,138.9980

2018-09-20,136.7435

2018-09-19,134.8442

2018-09-18,133.2991

2018-09-17,132.2104

2018-09-14,131.3851

2018-09-13,130.8317

2018-09-12,130.6000

2018-09-11,148.1205

2018-09-10,149.0426

2018-09-07,150.0133

2018-09-06,150.7497

2018-09-05,151.5167

2018-09-04,152.3158

2018-08-31,153.1481

2018-08-30,154.0151

2018-08-29,154.9182

2018-08-28,155.8590

2018-08-27,156.8389

2018-08-24,157.8597

2018-08-23,158.9230

2018-08-22,160.0307

2018-08-21,160.8781

2018-08-20,161.7518

2018-08-17,162.6524

2018-08-16,163.5810

2018-08-15,164.5382

2018-08-14,165.5251

2018-08-13,166.5424

2018-08-10,167.5913

2018-08-09,168.6725

2018-08-08,169.7873

2018-08-07,170.9365

2018-08-06,172.1212

2018-08-03,173.3426

2018-08-02,174.6017

2018-08-01,175.4454

2018-07-31,176.3063

2018-07-30,176.5990

2018-07-27,156.3006

2018-07-26,154.5356

2018-07-25,152.6170

2018-07-24,150.5316

2018-07-23,148.6681

2018-07-20,146.6643

2018-07-19,145.0407

2018-07-18,143.6492

2018-07-17,142.5387

2018-07-16,141.7080

2018-07-13,141.1673

2018-07-12,140.6156

2018-07-11,140.4000

2018-07-10,162.6351

2018-07-09,163.8053

2018-07-06,165.0372

2018-07-05,166.3339

2018-07-03,167.6988

2018-07-02,169.1356

2018-06-29,170.6480

2018-06-28,172.2400

2018-06-27,173.4050

2018-06-26,174.0964

2018-06-25,174.8092

2018-06-22,175.1100

2018-06-21,175.1100

2018-06-20,166.0559

2018-06-19,164.6500

2018-06-18,163.0691

2018-06-15,161.5337

2018-06-14,159.7058

2018-06-13,157.5298

2018-06-12,156.0333

2018-06-11,154.2727

2018-06-08,152.2014

2018-06-07,149.7646

2018-06-06,147.1591

2018-06-05,144.9414

2018-06-04,143.1798

2018-06-01,142.1323

2018-05-31,141.1504

2018-05-30,140.0593

2018-05-29,138.8470

2018-05-25,137.5000

2018-05-24,137.3100

2018-05-23,136.7737

2018-05-22,135.1963

2018-05-21,133.4436

2018-05-18,131.9753

2018-05-17,130.3618

2018-05-16,128.5887

2018-05-15,126.6402

2018-05-14,124.4990

2018-05-11,122.5450

2018-05-10,120.4211

2018-05-09,118.4600

2018-05-08,116.6990

2018-05-07,115.5226

2018-05-04,114.5752

2018-05-03,113.9271

2018-05-02,113.5086

2018-05-01,113.0817

2018-04-30,112.6460

2018-04-27,112.5000

2018-04-26,126.8500

2018-04-25,127.5919

2018-04-24,128.5552

2018-04-23,129.5800

2018-04-20,129.7289

2018-04-19,130.8286

2018-04-18,131.9985

2018-04-17,133.2431

2018-04-16,134.5671

2018-04-13,135.9756

2018-04-12,137.4741

2018-04-11,139.0682

2018-04-10,140.7640

2018-04-09,142.5681

2018-04-06,144.4873

2018-04-05,146.5291

2018-04-04,148.7012

2018-04-03,150.3275

2018-04-02,151.6508

2018-03-29,153.0291

2018-03-28,154.0296

2018-03-27,154.5768

2018-03-26,154.8200

2018-03-23,139.4758

2018-03-22,138.3209

2018-03-21,137.0790

2018-03-20,135.7437

2018-03-19,134.8037

2018-03-16,133.8037

2018-03-15,132.7399

2018-03-14,131.6082

2018-03-13,130.4043

2018-03-12,129.1235

2018-03-09,127.7609

2018-03-08,126.6947

2018-03-07,125.8853

2018-03-06,125.0422

2018-03-05,124.1639

2018-03-02,123.2491

2018-03-01,122.2961

2018-02-28,121.3035

2018-02-27,120.2694

2018-02-26,119.1923

2018-02-23,118.0704

2018-02-22,116.9016

2018-02-21,115.6842

2018-02-20,114.4160

2018-02-16,113.6016

2018-02-15,112.7619

2018-02-14,112.2436

2018-02-13,112.0600

2018-02-12,129.5577

2018-02-09,129.9148

2018-02-08,130.2792

2018-02-07,130.6510

2018-02-06,131.0304

2018-02-05,131.1590

2018-02-02,121.0210

2018-02-01,119.0900

2018-01-31,119.0900

2018-01-30,117.2220

2018-01-29,114.8841

2018-01-26,112.1337

2018-01-25,109.8373

2018-01-24,108.0274

2018-01-23,106.3858

2018-01-22,104.7464

2018-01-19,103.4149

2018-01-18,101.9355

2018-01-17,100.5603

2018-01-16,99.3342

2018-01-12,98.1927

2018-01-11,97.2048

2018-01-10,96.1538

2018-01-09,95.0358

2018-01-08,94.1068

2018-01-05,93.3708

2018-01-04,92.8546

2018-01-03,92.5431

2018-01-02,92.4100

2017-12-29,105.2200

2017-12-28,105.4783

2017-12-27,106.0228

2017-12-26,106.5900

2017-12-22,107.0212

2017-12-21,107.6300

2017-12-20,108.0400

2017-12-19,108.0400

2017-12-18,108.6102

2017-12-15,109.2852

2017-12-14,109.9883

2017-12-13,110.7208

2017-12-12,111.4837

2017-12-11,112.2785

2017-12-08,113.1063

2017-12-07,113.9686

2017-12-06,114.8669

2017-12-05,115.8026

2017-12-04,116.4092

2017-12-01,116.7420

2017-11-30,116.9052

2017-11-29,117.0700

2017-11-28,100.7330

2017-11-27,99.6902

2017-11-24,99.0091

2017-11-22,98.4520

2017-11-21,97.8717

2017-11-20,97.5136

2017-11-17,97.1444

2017-11-16,96.7638

2017-11-15,96.3715

2017-11-14,95.9670

2017-11-13,95.5500

2017-11-10,95.1566

2017-11-09,94.7145

2017-11-08,94.2588

2017-11-07,93.7889

2017-11-06,93.3046

2017-11-03,92.8052

2017-11-02,92.2904

2017-11-01,91.7597

2017-10-31,91.2126

2017-10-30,90.6486

2017-10-27,90.2836

2017-10-26,89.9113

2017-10-25,89.5313

2017-10-24,89.3500

2017-10-23,107.7427

2017-10-20,108.7107

2017-10-19,109.7297

2017-10-18,110.8023

2017-10-17,111.9314

2017-10-16,113.1199

2017-10-13,114.3709

2017-10-12,115.6878

2017-10-11,117.0740

2017-10-10,118.5332

2017-10-09,119.5841

2017-10-06,120.6789

2017-10-05,121.8192

2017-10-04,122.4709

