time,AROONOSC
2018-12-24,-100.0000
2018-12-21,-100.0000
2018-12-20,-100.0000
2018-12-19,-100.0000
2018-12-18,-100.0000
2018-12-17,-100.0000
2018-12-14,-100.0000
2018-12-13,-80.0000
2018-12-12,-80.0000
2018-12-11,-100.0000
2018-12-10,-80.0000
2018-12-07,40.0000
2018-12-06,60.0000
2018-12-04,60.0000
2018-12-03,60.0000
2018-11-30,-20.0000
2018-11-29,-80.0000
2018-11-28,-100.0000
2018-11-27,-20.0000
2018-11-26,-40.0000
2018-11-23,-40.0000
2018-11-21,-40.0000
2018-11-20,-40.0000
2018-11-19,80.0000
2018-11-16,80.0000
2018-11-15,-40.0000
2018-11-14,-60.0000
2018-11-13,-60.0000
2018-11-12,-60.0000
2018-11-09,-40.0000
2018-11-08,-20.0000
2018-11-07,100.0000
2018-11-06,60.0000
2018-11-05,80.0000
2018-11-02,80.0000
2018-11-01,60.0000
2018-10-31,40.0000
2018-10-30,-60.0000
2018-10-29,-100.0000
2018-10-26,-40.0000
2018-10-25,-60.0000
2018-10-24,-80.0000
2018-10-23,-80.0000
2018-10-22,-60.0000
2018-10-19,-40.0000
2018-10-18,80.0000
2018-10-17,80.0000
2018-10-16,-40.0000
2018-10-15,-60.0000
2018-10-12,-80.0000
2018-10-11,-100.0000
2018-10-10,-100.0000
2018-10-09,-80.0000
2018-10-08,-100.0000
2018-10-05,-80.0000
2018-10-04,-60.0000
2018-10-03,-40.0000
2018-10-02,-20.0000
2018-10-01,100.0000
2018-09-28,80.0000
2018-09-27,80.0000
2018-09-26,100.0000
2018-09-25,-20.0000
2018-09-24,-20.0000
2018-09-21,-20.0000
2018-09-20,-20.0000
2018-09-19,80.0000
2018-09-18,80.0000
2018-09-17,60.0000
2018-09-14,80.0000
2018-09-13,100.0000
2018-09-12,100.0000
2018-09-11,80.0000
2018-09-10,60.0000
2018-09-07,40.0000
2018-09-06,100.0000
2018-09-05,-20.0000
2018-09-04,-40.0000
2018-08-31,-40.0000
2018-08-30,-40.0000
2018-08-29,60.0000
2018-08-28,80.0000
2018-08-27,100.0000
2018-08-24,80.0000
2018-08-23,60.0000
2018-08-22,100.0000
2018-08-21,80.0000
2018-08-20,20.0000
2018-08-17,-60.0000
2018-08-16,20.0000
2018-08-15,40.0000
2018-08-14,40.0000
2018-08-13,40.0000
2018-08-10,100.0000
2018-08-09,100.0000
2018-08-08,80.0000
2018-08-07,100.0000
2018-08-06,80.0000
2018-08-03,-40.0000
2018-08-02,-60.0000
2018-08-01,-60.0000
2018-07-31,-100.0000
2018-07-30,-100.0000
2018-07-27,-20.0000
2018-07-26,-20.0000
2018-07-25,-20.0000
2018-07-24,-20.0000
2018-07-23,80.0000
2018-07-20,0.0000
2018-07-19,60.0000
2018-07-18,80.0000
2018-07-17,80.0000
2018-07-16,40.0000
2018-07-13,40.0000
2018-07-12,100.0000
2018-07-11,60.0000
2018-07-10,80.0000
2018-07-09,80.0000
2018-07-06,100.0000
2018-07-05,60.0000
2018-07-03,60.0000
2018-07-02,-20.0000
2018-06-29,-80.0000
2018-06-28,-100.0000
2018-06-27,-40.0000
2018-06-26,-40.0000
2018-06-25,-40.0000
2018-06-22,60.0000
2018-06-21,60.0000
2018-06-20,100.0000
2018-06-19,100.0000
2018-06-18,100.0000
2018-06-15,80.0000
2018-06-14,100.0000
2018-06-13,80.0000
2018-06-12,60.0000
2018-06-11,100.0000
2018-06-08,40.0000
2018-06-07,40.0000
2018-06-06,40.0000
2018-06-05,40.0000
2018-06-04,20.0000
2018-06-01,40.0000
2018-05-31,60.0000
2018-05-30,60.0000
2018-05-29,60.0000
2018-05-25,40.0000
2018-05-24,-40.0000
2018-05-23,-40.0000
2018-05-22,80.0000
2018-05-21,80.0000
2018-05-18,20.0000
2018-05-17,-20.0000
2018-05-16,-20.0000
2018-05-15,-20.0000
2018-05-14,-20.0000
2018-05-11,80.0000
2018-05-10,100.0000
2018-05-09,80.0000
2018-05-08,60.0000
2018-05-07,40.0000
2018-05-04,-20.0000
2018-05-03,-20.0000
2018-05-02,100.0000
2018-05-01,60.0000
2018-04-30,60.0000
2018-04-27,80.0000
2018-04-26,80.0000
2018-04-25,-40.0000
2018-04-24,-60.0000
2018-04-23,-60.0000
2018-04-20,-60.0000
2018-04-19,-20.0000
2018-04-18,80.0000
2018-04-17,80.0000
2018-04-16,40.0000
2018-04-13,100.0000
2018-04-12,80.0000
2018-04-11,80.0000
2018-04-10,80.0000
2018-04-09,20.0000
2018-04-06,20.0000
2018-04-05,-80.0000
2018-04-04,-100.0000
2018-04-03,-100.0000
2018-04-02,-60.0000
2018-03-29,-60.0000
2018-03-28,-40.0000
2018-03-27,-60.0000
2018-03-26,-80.0000
2018-03-23,-100.0000
2018-03-22,-100.0000
2018-03-21,-60.0000
2018-03-20,-80.0000
2018-03-19,-100.0000
2018-03-16,-80.0000
2018-03-15,-80.0000
2018-03-14,-100.0000
2018-03-13,-100.0000
2018-03-12,-80.0000
2018-03-09,40.0000
2018-03-08,-20.0000
2018-03-07,-40.0000
2018-03-06,-40.0000
2018-03-05,-80.0000
2018-03-02,-100.0000
2018-03-01,-100.0000
2018-02-28,-20.0000
2018-02-27,-20.0000
2018-02-26,-20.0000
2018-02-23,-20.0000
2018-02-22,-20.0000
2018-02-21,100.0000
2018-02-20,100.0000
2018-02-16,100.0000
2018-02-15,-20.0000
2018-02-14,-20.0000
2018-02-13,40.0000
2018-02-12,40.0000
2018-02-09,40.0000
2018-02-08,40.0000
2018-02-07,20.0000
2018-02-06,-80.0000
2018-02-05,-60.0000
2018-02-02,-80.0000
2018-02-01,-80.0000
2018-01-31,-60.0000
2018-01-30,-100.0000
2018-01-29,20.0000
2018-01-26,20.0000
2018-01-25,20.0000
2018-01-24,80.0000
2018-01-23,100.0000
2018-01-22,-20.0000
2018-01-19,-40.0000
2018-01-18,-60.0000
2018-01-17,-80.0000
2018-01-16,-100.0000
2018-01-12,-20.0000
2018-01-11,-40.0000
2018-01-10,-60.0000
2018-01-09,-60.0000
2018-01-08,-60.0000
2018-01-05,-40.0000
2018-01-04,-20.0000
2018-01-03,20.0000
2018-01-02,-60.0000
2017-12-29,20.0000
2017-12-28,-60.0000
2017-12-27,-80.0000
2017-12-26,-80.0000
2017-12-22,40.0000
2017-12-21,60.0000
2017-12-20,80.0000
2017-12-19,80.0000
2017-12-18,60.0000
2017-12-15,100.0000
2017-12-14,60.0000
2017-12-13,80.0000
2017-12-12,80.0000
2017-12-11,60.0000
2017-12-08,20.0000
2017-12-07,-80.0000
2017-12-06,-100.0000
2017-12-05,-100.0000
2017-12-04,20.0000
2017-12-01,40.0000
2017-11-30,60.0000
2017-11-29,60.0000
2017-11-28,60.0000
2017-11-27,40.0000
2017-11-24,-80.0000
2017-11-22,20.0000
2017-11-21,-20.0000
2017-11-20,-20.0000
2017-11-17,40.0000
2017-11-16,60.0000
2017-11-15,80.0000
2017-11-14,80.0000
2017-11-13,60.0000
