timestamp,open,high,low,close
2020-03-06,1.0279,1.0387,1.0268,1.0333
2020-03-05,1.0307,1.0394,1.0296,1.0384
2020-03-04,1.0428,1.0450,1.0340,1.0373
2020-03-03,1.0327,1.0371,1.0273,1.0338
2020-03-02,1.0248,1.0379,1.0248,1.0335
2020-02-28,1.0348,1.0393,1.0304,1.0337
2020-02-27,1.0268,1.0391,1.0255,1.0367
2020-02-26,1.0350,1.0384,1.0288,1.0311
2020-02-25,1.0309,1.0343,1.0250,1.0306
2020-02-24,1.0273,1.0318,1.0250,1.0294
2020-02-21,1.0248,1.0316,1.0248,1.0293
2020-02-20,1.0308,1.0330,1.0296,1.0296
2020-02-19,1.0290,1.0322,1.0278,1.0294
2020-02-18,1.0321,1.0321,1.0276,1.0298
2020-02-14,1.0302,1.0336,1.0298,1.0298
2020-02-13,1.0299,1.0352,1.0266,1.0279
2020-02-11,1.0276,1.0320,1.0262,1.0284
2020-02-10,1.0288,1.0330,1.0254,1.0296
2020-02-07,1.0325,1.0325,1.0265,1.0276
2020-02-06,1.0301,1.0311,1.0268,1.0289
2020-02-05,1.0322,1.0342,1.0278,1.0297
2020-02-04,1.0306,1.0319,1.0272,1.0283
2020-02-03,1.0318,1.0331,1.0285,1.0296
2020-01-31,1.0274,1.0339,1.0219,1.0274
2020-01-30,1.0305,1.0341,1.0260,1.0293
2020-01-29,1.0330,1.0347,1.0297,1.0320
2020-01-28,1.0348,1.0377,1.0320,1.0342
2020-01-27,1.0302,1.0321,1.0287,1.0310
2020-01-24,1.0326,1.0327,1.0282,1.0286
2020-01-23,1.0321,1.0349,1.0265,1.0287
2020-01-22,1.0310,1.0321,1.0297,1.0320
2020-01-21,1.0305,1.0337,1.0294,1.0304
2020-01-20,1.0330,1.0341,1.0298,1.0320
2020-01-17,1.0356,1.0370,1.0312,1.0315
2020-01-16,1.0331,1.0353,1.0296,1.0296
2020-01-15,1.0285,1.0319,1.0257,1.0294
2020-01-14,1.0308,1.0330,1.0255,1.0287
2020-01-13,1.0272,1.0300,1.0251,1.0266
2020-01-10,1.0320,1.0333,1.0241,1.0284
2020-01-09,1.0329,1.0343,1.0294,1.0316
2020-01-08,1.0344,1.0366,1.0302,1.0307
2020-01-07,1.0341,1.0366,1.0272,1.0318
2020-01-06,1.0256,1.0302,1.0256,1.0300
2020-01-03,1.0271,1.0292,1.0239,1.0261
2020-01-02,1.0240,1.0260,1.0207,1.0217
2019-12-31,1.0253,1.0299,1.0253,1.0273
2019-12-30,1.0274,1.0318,1.0245,1.0276
2019-12-27,1.0237,1.0314,1.0227,1.0295
2019-12-26,1.0296,1.0318,1.0244,1.0266
2019-12-24,1.0285,1.0285,1.0255,1.0277
2019-12-23,1.0296,1.0307,1.0241,1.0263
2019-12-20,1.0336,1.0336,1.0260,1.0280
2019-12-19,1.0314,1.0353,1.0280,1.0305
2019-12-18,1.0313,1.0361,1.0280,1.0285
2019-12-17,1.0324,1.0347,1.0277,1.0299
2019-12-16,1.0347,1.0347,1.0310,1.0332
2019-12-13,1.0370,1.0417,1.0304,1.0356
2019-12-12,1.0351,1.0418,1.0302,1.0409
2019-12-11,1.0334,1.0402,1.0312,1.0390
2019-12-10,1.0339,1.0385,1.0324,1.0357
2019-12-09,1.0357,1.0368,1.0357,1.0357
2019-12-06,1.0377,1.0407,1.0319,1.0352
2019-12-05,1.0366,1.0390,1.0337,1.0359
2019-12-04,1.0363,1.0389,1.0339,1.0367
2019-12-03,1.0344,1.0367,1.0344,1.0355
2019-12-02,1.0326,1.0395,1.0278,1.0354
2019-11-29,1.0357,1.0369,1.0335,1.0369
2019-11-27,1.0357,1.0368,1.0334,1.0356
2019-11-26,1.0354,1.0366,1.0325,1.0336
2019-11-25,1.0380,1.0380,1.0315,1.0327
2019-11-22,1.0357,1.0387,1.0312,1.0342
2019-11-21,1.0338,1.0394,1.0316,1.0360
2019-11-20,1.0379,1.0380,1.0352,1.0363
2019-11-19,1.0356,1.0372,1.0344,1.0360
2019-11-18,1.0377,1.0399,1.0352,1.0374
2019-11-15,1.0377,1.0421,1.0324,1.0357
2019-11-14,1.0408,1.0430,1.0342,1.0375
2019-11-13,1.0391,1.0421,1.0376,1.0387
2019-11-12,1.0423,1.0435,1.0386,1.0387
2019-11-11,1.0386,1.0386,1.0383,1.0384
2019-11-08,1.0432,1.0443,1.0380,1.0394
2019-11-07,1.0410,1.0453,1.0377,1.0419
2019-11-06,1.0394,1.0429,1.0383,1.0402
2019-11-05,1.0437,1.0478,1.0382,1.0402
2019-11-04,1.0424,1.0443,1.0390,1.0399
2019-10-31,1.0415,1.0441,1.0373,1.0384
2019-10-30,1.0426,1.0461,1.0367,1.0441
2019-10-29,1.0435,1.0457,1.0370,1.0403
2019-10-28,1.0419,1.0453,1.0402,1.0425
2019-10-25,1.0411,1.0442,1.0373,1.0396
2019-10-24,1.0449,1.0471,1.0395,1.0399
2019-10-23,1.0415,1.0426,1.0368,1.0379
2019-10-22,1.0436,1.0440,1.0384,1.0384
2019-10-21,1.0434,1.0471,1.0404,1.0420
2019-10-18,1.0448,1.0499,1.0396,1.0452
2019-10-17,1.0418,1.0470,1.0377,1.0459
2019-10-16,1.0443,1.0476,1.0421,1.0476
2019-10-15,1.0451,1.0477,1.0357,1.0391
2019-10-14,1.0417,1.0432,1.0406,1.0418
2019-10-11,1.0377,1.0445,1.0334,1.0378
