time,ATR
2018-10-25,4.9951
2018-10-24,5.3417
2018-10-23,5.4721
2018-10-22,5.4001
2018-10-19,4.7202
2018-10-18,4.4552
2018-10-17,4.6002
2018-10-16,4.5728
2018-10-15,3.7190
2018-10-12,2.8488
2018-10-11,2.8560
2018-10-10,3.1150
2018-10-09,3.0812
2018-10-08,3.3365
2018-10-05,3.2956
2018-10-04,3.4021
2018-10-03,3.6076
2018-10-02,3.6230
2018-10-01,3.3892
2018-09-28,3.5727
2018-09-27,3.7683
2018-09-26,3.9400
2018-09-25,4.3240
2018-09-24,4.7800
2018-09-21,4.7424
2018-09-20,5.1778
2018-09-19,5.5072
2018-09-18,4.5115
2018-09-17,4.6844
2018-09-14,4.9430
2018-09-13,4.4438
2018-09-12,3.6272
2018-09-11,3.7140
2018-09-10,4.0250
2018-09-07,4.5188
2018-09-06,4.6635
2018-09-05,4.7919
2018-09-04,3.9973
2018-08-31,3.3047
2018-08-30,3.5983
2018-08-29,3.6779
2018-08-28,3.7974
2018-08-27,3.4543
2018-08-24,3.5203
2018-08-23,3.3004
2018-08-22,3.2135
2018-08-21,3.0794
2018-08-20,3.1042
2018-08-17,2.9053
2018-08-16,2.7116
2018-08-15,2.8270
2018-08-14,1.4387
2018-08-13,1.2309
2018-08-10,1.0362
2018-08-09,1.0777
2018-08-08,1.0646
2018-08-07,0.8933
2018-08-06,0.9741
2018-08-03,1.0927
2018-08-02,1.1983
2018-08-01,1.1779
2018-07-31,1.2324
2018-07-30,1.3232
2018-07-27,1.3865
2018-07-26,1.4181
2018-07-25,1.5727
2018-07-24,1.6889
2018-07-23,1.6286
2018-07-20,1.5383
2018-07-19,1.4754
2018-07-18,1.5142
2018-07-17,1.3928
2018-07-16,1.4135
2018-07-13,1.3118
2018-07-12,1.3673
2018-07-11,1.4741
2018-07-10,1.4427
2018-07-09,1.6158
2018-07-06,1.8248
2018-07-05,2.1335
2018-07-03,2.4019
2018-07-02,2.6223
2018-06-29,2.6857
2018-06-28,2.7421
2018-06-27,2.5801
2018-06-26,2.3152
2018-06-25,2.4815
2018-06-22,2.3793
2018-06-21,2.0116
2018-06-20,1.8146
2018-06-19,1.5882
2018-06-18,1.3402
2018-06-15,1.3270
2018-06-14,1.4689
2018-06-13,1.5011
2018-06-12,1.5904
2018-06-11,1.6731
2018-06-08,1.8163
2018-06-07,1.7704
2018-06-06,1.6405
2018-06-05,1.7781
2018-06-04,1.5452
2018-06-01,1.5239
2018-05-31,1.6574
2018-05-30,1.8093
2018-05-29,2.0491
2018-05-25,2.0364
2018-05-24,2.0355
2018-05-23,1.7439
2018-05-22,1.8072
2018-05-21,1.7567
2018-05-18,1.4084
2018-05-17,1.1682
2018-05-16,1.0128
2018-05-15,1.0560
2018-05-14,1.1655
2018-05-11,0.8589
2018-05-10,0.9071
2018-05-09,0.9988
2018-05-08,1.0811
2018-05-07,1.0763
2018-05-04,1.1582
2018-05-03,1.2527
2018-05-02,1.2974
2018-05-01,1.2402
2018-04-30,1.3078
2018-04-27,1.1222
2018-04-26,1.2177
2018-04-25,1.3602
2018-04-24,1.3987
2018-04-23,1.4834
2018-04-20,1.3693
2018-04-19,1.5266
2018-04-18,1.6657
2018-04-17,1.8546
2018-04-16,1.9720
2018-04-13,2.1000
2018-04-12,2.0001
2018-04-11,2.3113
2018-04-10,2.5767
2018-04-09,2.4024
2018-04-06,2.4487
2018-04-05,2.7096
2018-04-04,3.0433
2018-04-03,3.1471
2018-04-02,2.8809
2018-03-29,1.5011
2018-03-28,1.4256
2018-03-27,1.4118
2018-03-26,1.3884
2018-03-23,1.5006
2018-03-22,1.3307
2018-03-21,1.2484
2018-03-20,1.3377
2018-03-19,1.3910
2018-03-16,1.3863
2018-03-15,1.3229
2018-03-14,1.4288
2018-03-13,1.5636
2018-03-12,1.6849
2018-03-09,1.6487
2018-03-08,1.7566
2018-03-07,1.8282
2018-03-06,1.8223
2018-03-05,1.8134
2018-03-02,1.6122
2018-03-01,1.7328
2018-02-28,1.5750
2018-02-27,1.5730
2018-02-26,1.5963
2018-02-23,1.7316
2018-02-22,1.8582
2018-02-21,2.0453
2018-02-20,2.2076
2018-02-16,2.1095
2018-02-15,2.2784
2018-02-14,2.6588
2018-02-13,2.9797
2018-02-12,3.4664
2018-02-09,3.7603
2018-02-08,3.3706
2018-02-07,3.6875
2018-02-06,3.6681
2018-02-05,3.6676
2018-02-02,3.2313
2018-02-01,3.1341
2018-01-31,2.9721
2018-01-30,3.1109
2018-01-29,2.8586
2018-01-26,2.7257
2018-01-25,2.5096
2018-01-24,2.3400
2018-01-23,2.4725
2018-01-22,2.7156
2018-01-19,3.0845
2018-01-18,3.5431
2018-01-17,4.0177
2018-01-16,4.5656
2018-01-12,4.3150
2018-01-11,3.8835
2018-01-10,3.9701
2018-01-09,4.0301
2018-01-08,3.7802
2018-01-05,3.5452
2018-01-04,3.1400
2018-01-03,2.5600
2018-01-02,2.4116
2017-12-29,2.4559
2017-12-28,1.6492
2017-12-27,1.4467
2017-12-26,1.1981
2017-12-22,1.0377
2017-12-21,0.9237
2017-12-20,0.9186
2017-12-19,0.7890
2017-12-18,0.7141
2017-12-15,0.6346
2017-12-14,0.6782
2017-12-13,0.7303
2017-12-12,0.7276
2017-12-11,0.8035
2017-12-08,0.8456
2017-12-07,0.8195
2017-12-06,0.9094
2017-12-05,0.9860
2017-12-04,1.0509
2017-12-01,1.2237
2017-11-30,1.3773
2017-11-29,1.4329
2017-11-28,1.3517
2017-11-27,0.8646
2017-11-24,0.9047
2017-11-22,1.0322
2017-11-21,1.0589
2017-11-20,1.1937
2017-11-17,1.3103
2017-11-16,1.1844
2017-11-15,1.1258
2017-11-14,1.0445
2017-11-13,1.0816
2017-11-10,1.2210
2017-11-09,1.3288
2017-11-08,1.2886
2017-11-07,1.2308
2017-11-06,1.0405
2017-11-03,0.7998
2017-11-02,0.7968
2017-11-01,0.8607
2017-10-31,0.8656
2017-10-30,0.7388
2017-10-27,0.3792
2017-10-26,0.4110
2017-10-25,0.4662
2017-10-24,0.5103
2017-10-23,0.5429
2017-10-20,0.5881
2017-10-19,0.5464
2017-10-18,0.5735
2017-10-17,0.6266
2017-10-16,0.5107
2017-10-13,0.5559
2017-10-12,0.5859
2017-10-11,0.5548
2017-10-10,0.4708
2017-10-09,0.4905
2017-10-06,0.5204
2017-10-05,0.3782
2017-10-04,0.3053
2017-10-03,0.2851
2017-10-02,0.2476
2017-09-29,0.1936
2017-09-28,0.2084
2017-09-27,0.2268
2017-09-26,0.2435
2017-09-25,0.2916
2017-09-22,0.2945
2017-09-21,0.2984
2017-09-20,0.2932
2017-09-19,0.2860
2017-09-18,0.2885
2017-09-15,0.2982
2017-09-14,0.3127
2017-09-13,0.3164
2017-09-12,0.2688
2017-09-11,0.2057
2017-09-08,0.1949
2017-09-07,0.1519
2017-09-06,0.1586
2017-09-05,0.1327
2017-09-01,0.1444
2017-08-31,0.1580
2017-08-30,0.1575
2017-08-29,0.1741
2017-08-28,0.1852
2017-08-25,0.1982
2017-08-24,0.2228
2017-08-23,0.2115
2017-08-22,0.2051
2017-08-21,0.1891
2017-08-18,0.1564
2017-08-17,0.1662
2017-08-16,0.1809
2017-08-15,0.1868
2017-08-14,0.1888
2017-08-11,0.1608
2017-08-10,0.1660
2017-08-09,0.1830
2017-08-08,0.1938
2017-08-07,0.1860
2017-08-04,0.2025
2017-08-03,0.2481
2017-08-02,0.2674
2017-08-01,0.2985
2017-07-31,0.3047
2017-07-28,0.3161
2017-07-27,0.3144
2017-07-26,0.2474
2017-07-25,0.2191
2017-07-24,0.2088
2017-07-21,0.1785
2017-07-20,0.2053
2017-07-19,0.2091
2017-07-18,0.2057
2017-07-17,0.1896
2017-07-14,0.1555
2017-07-13,0.1769
2017-07-12,0.1888
2017-07-11,0.1735
2017-07-10,0.1894
2017-07-07,0.2090
2017-07-06,0.2240
2017-07-05,0.2424
2017-07-03,0.2681
2017-06-30,0.2901
2017-06-29,0.3306
2017-06-28,0.3360
2017-06-27,0.3250
2017-06-26,0.2925
2017-06-23,0.2784
2017-06-22,0.2845
2017-06-21,0.2728
2017-06-20,0.2785
2017-06-19,0.2956
2017-06-16,0.3146
2017-06-15,0.3282
2017-06-14,0.3630
2017-06-13,0.3713
2017-06-12,0.3637
2017-06-09,0.3824
2017-06-08,0.3279
2017-06-07,0.3399
2017-06-06,0.2922
2017-06-05,0.2405
2017-06-02,0.2406
2017-06-01,0.2582
2017-05-31,0.2561
2017-05-30,0.2601
2017-05-26,0.2626
2017-05-25,0.2228
2017-05-24,0.2032
2017-05-23,0.2165
2017-05-22,0.2351
2017-05-19,0.2739
2017-05-18,0.3049
2017-05-17,0.3137
2017-05-16,0.3481
2017-05-15,0.3906
2017-05-12,0.4258
2017-05-11,0.4048
2017-05-10,0.2790
2017-05-09,0.2610
2017-05-08,0.2250
2017-05-05,0.2036
2017-05-04,0.2194
2017-05-03,0.2219
2017-05-02,0.2499
2017-05-01,0.2579
2017-04-28,0.2923
2017-04-27,0.3116
2017-04-26,0.3303
2017-04-25,0.3284
2017-04-24,0.3132
2017-04-21,0.3315
2017-04-20,0.3839
2017-04-19,0.4074
2017-04-18,0.3927
2017-04-17,0.4209
2017-04-13,0.4464
2017-04-12,0.4282
2017-04-11,0.4550
2017-04-10,0.3861
2017-04-07,0.3189
2017-04-06,0.3356
2017-04-05,0.3535
2017-04-04,0.3556
2017-04-03,0.3870
2017-03-31,0.3903
2017-03-30,0.4045
2017-03-29,0.4180
2017-03-28,0.4725
2017-03-27,0.4792
2017-03-24,0.3807
2017-03-23,0.3859
2017-03-22,0.3994
2017-03-21,0.4177
2017-03-20,0.3939
2017-03-17,0.3824
2017-03-16,0.3750
2017-03-15,0.3987
2017-03-14,0.4389
2017-03-13,0.5013
2017-03-10,0.5492
2017-03-09,0.5817
2017-03-08,0.5762
2017-03-07,0.4594
2017-03-06,0.3896
2017-03-03,0.4019
2017-03-02,0.4472
2017-03-01,0.5085
2017-02-28,0.5633
2017-02-27,0.5492
2017-02-24,0.5065
2017-02-23,0.4198
2017-02-22,0.4498
2017-02-21,0.4482
2017-02-17,0.5178
2017-02-16,0.5650
2017-02-15,0.5897
2017-02-14,0.6172
2017-02-13,0.4290
2017-02-10,0.3712
2017-02-09,0.3855
2017-02-08,0.4194
2017-02-07,0.4332
2017-02-06,0.3589
2017-02-03,0.2379
2017-02-02,0.2269
2017-02-01,0.2420
2017-01-31,0.2405
2017-01-30,0.2436
2017-01-27,0.2395
2017-01-26,0.2744
2017-01-25,0.2930
2017-01-24,0.3005
2017-01-23,0.2881
2017-01-20,0.2959
2017-01-19,0.2834
2017-01-18,0.2957
2017-01-17,0.2847
