time,SMA
2020-02-28 15:59,1.0196
2020-02-28 15:41,1.0185
2020-02-28 14:58,1.0178
2020-02-28 14:54,1.0197
2020-02-28 14:52,1.0213
2020-02-28 14:48,1.0226
2020-02-28 14:38,1.0251
2020-02-28 14:34,1.0274
2020-02-28 14:05,1.0294
2020-02-28 13:51,1.0317
2020-02-28 12:51,1.0337
2020-02-28 12:46,1.0331
2020-02-28 12:31,1.0309
2020-02-28 12:07,1.0289
2020-02-28 11:32,1.0239
2020-02-28 11:08,1.0195
2020-02-28 10:47,1.0186
2020-02-28 10:38,1.0158
2020-02-28 10:23,1.0105
2020-02-28 10:22,1.0045
2020-02-28 10:21,1.0035
2020-02-28 10:19,1.0041
2020-02-28 10:18,1.0056
2020-02-28 10:17,1.0068
2020-02-28 10:16,1.0071
2020-02-28 10:15,1.0091
2020-02-28 10:13,1.0147
2020-02-28 10:10,1.0215
2020-02-28 09:56,1.0288
2020-02-28 09:52,1.0374
2020-02-28 09:50,1.0450
2020-02-28 09:46,1.0494
2020-02-28 09:45,1.0596
2020-02-28 09:44,1.0694
2020-02-28 09:43,1.0797
2020-02-28 09:42,1.0831
2020-02-28 09:41,1.0861
2020-02-27 15:55,1.0883
2020-02-27 15:44,1.0911
2020-02-27 15:38,1.0949
2020-02-27 15:16,1.0969
2020-02-27 14:19,1.1000
2020-02-27 14:06,1.1018
2020-02-27 13:18,1.1045
2020-02-27 13:17,1.1063
2020-02-27 12:49,1.1084
2020-02-27 12:10,1.1126
2020-02-27 12:09,1.1142
2020-02-27 12:03,1.1149
2020-02-27 11:22,1.1162
2020-02-27 10:36,1.1138
2020-02-27 10:31,1.1170
2020-02-27 10:13,1.1223
2020-02-27 09:52,1.1257
2020-02-27 09:51,1.1286
2020-02-27 09:35,1.1328
2020-02-26 15:04,1.1308
2020-02-26 15:02,1.1308
2020-02-26 14:53,1.1275
2020-02-26 14:49,1.1315
2020-02-26 13:55,1.1332
2020-02-26 12:20,1.1339
2020-02-26 12:10,1.1360
2020-02-26 12:06,1.1405
2020-02-26 11:25,1.1423
2020-02-26 10:50,1.1492
2020-02-26 10:22,1.1517
2020-02-26 10:01,1.1525
2020-02-26 09:59,1.1557
2020-02-26 09:57,1.1561
2020-02-26 09:56,1.1570
2020-02-26 09:50,1.1600
2020-02-26 09:48,1.1642
2020-02-26 09:31,1.1662
2020-02-25 15:19,1.1682
2020-02-25 15:10,1.1726
2020-02-25 14:36,1.1772
2020-02-25 14:13,1.1795
2020-02-25 13:42,1.1825
2020-02-25 13:34,1.1885
2020-02-25 13:11,1.1915
2020-02-25 12:21,1.1922
2020-02-25 12:11,1.1932
2020-02-25 11:56,1.1946
2020-02-25 11:46,1.1982
2020-02-25 11:19,1.1997
2020-02-25 11:16,1.2039
2020-02-25 11:14,1.2039
2020-02-25 11:08,1.2052
2020-02-25 11:07,1.2012
2020-02-25 10:58,1.1963
2020-02-25 10:53,1.1898
2020-02-25 10:52,1.1838
2020-02-25 10:51,1.1768
2020-02-25 10:44,1.1710
2020-02-25 10:41,1.1676
2020-02-25 10:40,1.1595
2020-02-25 10:39,1.1542
2020-02-25 10:38,1.1462
2020-02-25 10:35,1.1388
2020-02-25 10:34,1.1288
2020-02-25 10:33,1.1206
2020-02-25 10:32,1.1121
2020-02-25 10:31,1.1101
2020-02-25 10:30,1.1074
2020-02-25 09:51,1.1059
2020-02-25 09:48,1.1084
2020-02-25 09:46,1.1111
2020-02-25 09:40,1.1134
2020-02-25 09:39,1.1119
2020-02-25 09:38,1.1081
2020-02-25 09:37,1.1087
2020-02-25 09:36,1.1043
2020-02-25 09:35,1.1010
2020-02-24 15:56,1.0977
2020-02-24 14:33,1.0970
2020-02-24 14:00,1.0937
2020-02-24 12:42,1.0910
2020-02-24 12:40,1.0870
2020-02-24 12:37,1.0817
2020-02-24 12:35,1.0784
2020-02-24 12:34,1.0710
2020-02-24 12:32,1.0630
2020-02-24 12:30,1.0570
2020-02-24 12:29,1.0530
2020-02-24 12:27,1.0519
2020-02-24 12:26,1.0532
