time,SMA
2020-02-28 15:59,1.0219
2020-02-28 15:41,1.0229
2020-02-28 14:58,1.0246
2020-02-28 14:54,1.0260
2020-02-28 14:52,1.0275
2020-02-28 14:48,1.0280
2020-02-28 14:38,1.0273
2020-02-28 14:34,1.0266
2020-02-28 14:05,1.0261
2020-02-28 13:51,1.0239
2020-02-28 12:51,1.0217
2020-02-28 12:46,1.0212
2020-02-28 12:31,1.0177
2020-02-28 12:07,1.0142
2020-02-28 11:32,1.0097
2020-02-28 11:08,1.0098
2020-02-28 10:47,1.0121
2020-02-28 10:38,1.0154
2020-02-28 10:23,1.0163
2020-02-28 10:22,1.0168
2020-02-28 10:21,1.0178
2020-02-28 10:19,1.0196
2020-02-28 10:18,1.0222
2020-02-28 10:17,1.0257
2020-02-28 10:16,1.0281
2020-02-28 10:15,1.0302
2020-02-28 10:13,1.0335
2020-02-28 10:10,1.0392
2020-02-28 09:56,1.0446
2020-02-28 09:52,1.0515
2020-02-28 09:50,1.0574
2020-02-28 09:46,1.0627
2020-02-28 09:45,1.0698
2020-02-28 09:44,1.0768
2020-02-28 09:43,1.0847
2020-02-28 09:42,1.0879
2020-02-28 09:41,1.0915
2020-02-27 15:55,1.0946
2020-02-27 15:44,1.0980
2020-02-27 15:38,1.1030
2020-02-27 15:16,1.1055
2020-02-27 14:19,1.1070
2020-02-27 14:06,1.1085
2020-02-27 13:18,1.1097
2020-02-27 13:17,1.1109
2020-02-27 12:49,1.1131
2020-02-27 12:10,1.1123
2020-02-27 12:09,1.1144
2020-02-27 12:03,1.1180
2020-02-27 11:22,1.1203
2020-02-27 10:36,1.1236
2020-02-27 10:31,1.1265
2020-02-27 10:13,1.1265
2020-02-27 09:52,1.1278
2020-02-27 09:51,1.1274
2020-02-27 09:35,1.1314
2020-02-27 09:31,1.1319
2020-02-26 15:04,1.1324
2020-02-26 15:02,1.1343
2020-02-26 14:53,1.1361
2020-02-26 14:49,1.1376
2020-02-26 13:55,1.1396
2020-02-26 12:20,1.1427
2020-02-26 12:10,1.1456
2020-02-26 12:06,1.1497
2020-02-26 11:25,1.1512
2020-02-26 10:50,1.1576
2020-02-26 10:22,1.1572
2020-02-26 10:01,1.1577
2020-02-26 09:59,1.1566
2020-02-26 09:57,1.1596
2020-02-26 09:56,1.1618
2020-02-26 09:50,1.1672
2020-02-26 09:48,1.1709
2020-02-26 09:31,1.1774
2020-02-25 15:19,1.1784
2020-02-25 15:10,1.1814
2020-02-25 14:36,1.1847
2020-02-25 14:13,1.1875
2020-02-25 13:42,1.1888
2020-02-25 13:34,1.1912
2020-02-25 13:11,1.1939
2020-02-25 12:21,1.1938
2020-02-25 12:11,1.1917
2020-02-25 11:56,1.1892
2020-02-25 11:46,1.1881
2020-02-25 11:19,1.1848
2020-02-25 11:16,1.1831
2020-02-25 11:14,1.1799
2020-02-25 11:08,1.1810
2020-02-25 11:07,1.1779
2020-02-25 10:58,1.1716
2020-02-25 10:53,1.1675
2020-02-25 10:52,1.1625
2020-02-25 10:44,1.1560
2020-02-25 10:41,1.1485
2020-02-25 10:40,1.1409
2020-02-25 10:39,1.1349
2020-02-25 10:38,1.1269
2020-02-25 10:35,1.1224
2020-02-25 10:34,1.1178
2020-02-25 10:33,1.1130
2020-02-25 10:32,1.1111
2020-02-25 10:31,1.1111
2020-02-25 10:30,1.1116
2020-02-25 09:51,1.1114
2020-02-25 09:48,1.1103
2020-02-25 09:46,1.1093
2020-02-25 09:40,1.1061
2020-02-25 09:39,1.1009
2020-02-25 09:38,1.0960
2020-02-25 09:37,1.0940
2020-02-25 09:36,1.0895
2020-02-25 09:35,1.0855
2020-02-25 09:31,1.0835
2020-02-24 15:56,1.0825
2020-02-24 14:33,1.0830
2020-02-24 14:00,1.0808
2020-02-24 12:42,1.0793
2020-02-24 12:40,1.0768
2020-02-24 12:37,1.0748
2020-02-24 12:35,1.0729
2020-02-24 12:34,1.0709
