time,ROCR
2018-12-14,0.9882
2018-12-13,0.9834
2018-12-12,0.9823
2018-12-11,0.9457
2018-12-10,0.9580
2018-12-07,0.9620
2018-12-06,0.9827
2018-12-04,1.0069
2018-12-03,1.0441
2018-11-30,1.0471
2018-11-29,1.0338
2018-11-28,1.0396
2018-11-27,0.9974
2018-11-26,0.9772
2018-11-23,0.9642
2018-11-21,0.9808
2018-11-20,0.9708
2018-11-19,0.9873
2018-11-16,0.9855
2018-11-15,0.9733
2018-11-14,0.9615
2018-11-13,0.9889
2018-11-12,0.9970
2018-11-09,1.0216
2018-11-08,1.0256
2018-11-07,1.0384
2018-11-06,1.0274
2018-11-05,1.0361
2018-11-02,1.0247
2018-11-01,1.0127
2018-10-31,1.0200
2018-10-30,0.9787
2018-10-29,0.9595
2018-10-26,0.9605
2018-10-25,0.9771
2018-10-24,0.9461
2018-10-23,0.9758
2018-10-22,1.0022
2018-10-19,1.0011
2018-10-18,1.0155
2018-10-17,1.0077
2018-10-16,0.9756
2018-10-15,0.9534
2018-10-12,0.9588
2018-10-11,0.9403
2018-10-10,0.9540
2018-10-09,0.9857
2018-10-08,0.9866
2018-10-05,0.9900
2018-10-04,0.9957
2018-10-03,1.0063
2018-10-02,1.0028
2018-10-01,1.0024
2018-09-28,0.9957
2018-09-27,0.9902
2018-09-26,0.9954
2018-09-25,0.9995
2018-09-24,1.0058
2018-09-21,1.0038
2018-09-20,1.0095
2018-09-19,1.0073
2018-09-18,1.0064
2018-09-17,1.0043
2018-09-14,1.0114
2018-09-13,1.0093
2018-09-12,1.0003
2018-09-11,0.9974
2018-09-10,0.9924
2018-09-07,0.9907
2018-09-06,0.9886
2018-09-05,0.9969
2018-09-04,1.0001
2018-08-31,1.0097
2018-08-30,1.0158
2018-08-29,1.0186
2018-08-28,1.0125
2018-08-27,1.0144
2018-08-24,1.0086
2018-08-23,1.0061
2018-08-22,1.0156
2018-08-21,1.0086
2018-08-20,1.0127
2018-08-17,1.0067
2018-08-16,0.9965
2018-08-15,0.9871
2018-08-14,0.9941
2018-08-13,0.9911
2018-08-10,0.9984
2018-08-09,1.0095
2018-08-08,1.0164
2018-08-07,1.0151
2018-08-06,1.0168
2018-08-03,1.0077
2018-08-02,0.9966
2018-08-01,0.9889
2018-07-31,0.9990
2018-07-30,0.9991
2018-07-27,1.0062
2018-07-26,1.0119
2018-07-25,1.0105
2018-07-24,1.0041
2018-07-23,1.0031
2018-07-20,1.0003
2018-07-19,1.0023
2018-07-18,1.0152
2018-07-17,1.0056
2018-07-16,1.0052
2018-07-13,1.0151
2018-07-12,1.0229
2018-07-11,1.0220
2018-07-10,1.0259
2018-07-09,1.0244
2018-07-06,1.0167
2018-07-05,1.0140
2018-07-03,0.9974
2018-07-02,1.0032
2018-06-29,0.9874
2018-06-28,0.9878
2018-06-27,0.9760
2018-06-26,0.9858
2018-06-25,0.9799
2018-06-22,0.9914
2018-06-21,0.9839
2018-06-20,0.9926
2018-06-19,0.9877
2018-06-18,0.9928
2018-06-15,0.9962
2018-06-14,1.0049
2018-06-13,1.0023
2018-06-12,1.0139
2018-06-11,1.0133
2018-06-08,1.0168
2018-06-07,1.0237
2018-06-06,1.0176
2018-06-05,1.0226
2018-06-04,1.0101
2018-06-01,1.0029
2018-05-31,0.9911
2018-05-30,1.0000
2018-05-29,0.9841
2018-05-25,1.0030
2018-05-24,1.0029
2018-05-23,1.0041
2018-05-22,1.0056
2018-05-21,1.0014
2018-05-18,0.9944
2018-05-17,1.0000
2018-05-16,1.0102
2018-05-15,1.0157
2018-05-14,1.0227
2018-05-11,1.0257
2018-05-10,1.0358
2018-05-09,1.0239
2018-05-08,1.0073
2018-05-07,1.0091
2018-05-04,0.9980
2018-05-03,0.9861
2018-05-02,0.9984
2018-05-01,1.0076
2018-04-30,0.9923
2018-04-27,0.9998
2018-04-26,0.9904
2018-04-25,0.9750
2018-04-24,0.9733
2018-04-23,0.9972
2018-04-20,1.0055
2018-04-19,1.0111
2018-04-18,1.0251
2018-04-17,1.0190
2018-04-16,1.0243
2018-04-13,1.0209
2018-04-12,1.0011
2018-04-11,1.0008
2018-04-10,1.0168
2018-04-09,1.0137
2018-04-06,0.9870
2018-04-05,1.0224
2018-04-04,1.0114
2018-04-03,0.9836
2018-04-02,0.9978
2018-03-29,0.9980
2018-03-28,0.9608
2018-03-27,0.9618
2018-03-26,0.9801
2018-03-23,0.9411
2018-03-22,0.9588
2018-03-21,0.9823
2018-03-20,0.9791
2018-03-19,0.9712
2018-03-16,0.9833
2018-03-15,1.0033
2018-03-14,1.0092
2018-03-13,1.0141
2018-03-12,1.0233
2018-03-09,1.0364
2018-03-08,1.0239
2018-03-07,1.0042
2018-03-06,0.9944
2018-03-05,0.9795
2018-03-02,0.9795
2018-03-01,0.9900
2018-02-28,1.0059
2018-02-27,1.0112
2018-02-26,1.0175
2018-02-23,1.0062
2018-02-22,1.0030
2018-02-21,1.0152
2018-02-20,1.0228
2018-02-16,1.0444
2018-02-15,1.0598
2018-02-14,1.0072
2018-02-13,0.9884
2018-02-12,1.0053
2018-02-09,0.9494
2018-02-08,0.9149
2018-02-07,0.9495
2018-02-06,0.9552
2018-02-05,0.9271
2018-02-02,0.9612
2018-02-01,0.9939
2018-01-31,0.9955
2018-01-30,0.9946
2018-01-29,1.0070
2018-01-26,1.0220
2018-01-25,1.0149
2018-01-24,1.0128
2018-01-23,1.0228
2018-01-22,1.0172
2018-01-19,1.0155
2018-01-18,1.0183
2018-01-17,1.0185
2018-01-16,1.0111
2018-01-12,1.0165
2018-01-11,1.0166
2018-01-10,1.0135
2018-01-09,1.0215
2018-01-08,1.0265
2018-01-05,1.0207
2018-01-04,1.0160
2018-01-03,1.0123
2018-01-02,1.0047
2017-12-29,0.9973
2017-12-28,1.0031
2017-12-27,1.0006
2017-12-26,0.9962
2017-12-22,1.0038
2017-12-21,1.0072
