time,SlowD,SlowK
2019-03-27,10.5138,11.6607
2019-03-26,10.1092,9.1837
2019-03-25,10.1101,10.6971
2019-03-22,16.0863,10.4468
2019-03-21,25.4501,9.1865
2019-03-20,38.0963,28.6256
2019-03-19,43.3367,38.5381
2019-03-18,49.7171,47.1253
2019-03-15,55.7950,44.3467
2019-03-14,56.7294,57.6794
2019-03-13,44.9142,65.3589
2019-03-12,24.9229,47.1498
2019-03-11,14.3754,22.2340
2019-03-08,14.1760,5.3851
2019-03-07,29.4890,15.5072
2019-03-06,43.0259,21.6359
2019-03-05,58.3634,51.3241
2019-03-04,57.2129,56.1179
2019-03-01,53.0887,67.6483
2019-02-28,41.1185,47.8725
2019-02-27,33.6877,43.7454
2019-02-26,27.9593,31.7376
2019-02-25,32.2568,25.5802
2019-02-22,43.1378,26.5600
2019-02-21,53.5375,44.6301
2019-02-20,57.0574,58.2233
2019-02-19,56.8523,57.7590
2019-02-15,57.6367,55.1898
2019-02-14,62.6155,57.6081
2019-02-13,69.8538,60.1124
2019-02-12,80.5728,70.1259
2019-02-11,80.9860,79.3231
2019-02-08,78.5145,92.2694
2019-02-07,67.7752,71.3655
2019-02-06,67.0427,71.9085
2019-02-05,63.3856,60.0518
2019-02-04,61.1589,69.1677
2019-02-01,57.6540,60.9373
2019-01-31,59.1611,53.3718
2019-01-30,64.0591,58.6529
2019-01-29,59.5513,65.4585
2019-01-28,43.5170,68.0659
2019-01-25,31.2104,45.1295
2019-01-24,34.6911,17.3556
2019-01-23,51.4273,31.1462
2019-01-22,55.2753,55.5716
2019-01-18,45.0801,67.5641
2019-01-17,31.7461,42.6903
2019-01-16,35.6548,24.9858
2019-01-15,51.8911,27.5622
2019-01-14,72.4014,54.4163
2019-01-11,84.3022,73.6949
2019-01-10,88.5203,89.0930
2019-01-09,78.8521,90.1186
2019-01-08,67.4087,86.3492
2019-01-07,59.4505,60.0885
2019-01-04,68.9754,55.7884
2019-01-03,82.2075,62.4746
2019-01-02,88.7887,88.6632
2018-12-31,77.6896,95.4846
2018-12-28,53.5453,82.2183
2018-12-27,29.4274,55.3659
2018-12-26,14.1627,23.0516
2018-12-24,11.2690,9.8645
2018-12-21,11.9783,9.5719
2018-12-20,15.9418,14.3704
2018-12-19,21.2950,11.9926
2018-12-18,35.1267,21.4624
2018-12-17,49.5989,30.4301
2018-12-14,64.6774,53.4877
2018-12-13,67.5833,64.8788
2018-12-12,67.7591,75.6656
2018-12-11,58.7993,62.2055
2018-12-10,61.0665,65.4063
2018-12-07,57.7341,48.7861
2018-12-06,65.1377,69.0070
2018-12-04,62.7911,55.4093
2018-12-03,64.5265,70.9968
2018-11-30,59.1200,61.9672
2018-11-29,52.2459,60.6153
2018-11-28,44.7137,54.7775
2018-11-27,35.9448,41.3447
2018-11-26,28.7218,38.0189
2018-11-23,24.8795,28.4706
2018-11-21,30.8353,19.6758
2018-11-20,43.3032,26.4922
2018-11-19,50.5975,46.3378
2018-11-16,43.0487,57.0795
2018-11-15,31.4439,48.3752
2018-11-14,23.5172,23.6915
2018-11-13,29.1692,22.2651
2018-11-12,33.4912,24.5950
2018-11-09,41.0024,40.6475
2018-11-08,45.5902,35.2311
2018-11-07,59.0203,47.1285
2018-11-06,66.9317,54.4109
2018-11-05,65.4243,75.5215
2018-11-02,48.7260,70.8626
2018-11-01,28.1220,49.8888
2018-10-31,15.0016,25.4266
2018-10-30,9.8850,9.0507
2018-10-29,14.4762,10.5275
2018-10-26,19.9074,10.0768
2018-10-25,28.5966,22.8242
2018-10-24,34.6712,26.8211
2018-10-23,44.4291,36.1443
2018-10-22,54.0557,41.0480
2018-10-19,57.8472,56.0948
2018-10-18,49.3509,65.0241
2018-10-17,31.5203,52.4227
2018-10-16,16.1721,30.6058
2018-10-15,10.0826,11.5323
2018-10-12,12.5279,6.3781
2018-10-11,18.9897,12.3375
2018-10-10,21.4970,18.8682
2018-10-09,20.7062,25.7635
2018-10-08,18.6692,19.8593
2018-10-05,20.9214,16.4959
2018-10-04,30.5415,19.6523
2018-10-03,44.4207,26.6160
2018-10-02,60.0854,45.3561
2018-10-01,67.5063,61.2899
2018-09-28,63.1300,73.6103
2018-09-27,47.7715,67.6188
2018-09-26,31.0472,48.1609
2018-09-25,19.5669,27.5349
2018-09-24,18.7135,17.4458
2018-09-21,20.7644,13.7200
2018-09-20,30.8752,24.9748
2018-09-19,40.5351,23.5983
2018-09-18,55.3063,44.0525
2018-09-17,65.9198,53.9545
2018-09-14,71.6188,67.9119
2018-09-13,74.0618,75.8930
2018-09-12,66.8481,71.0514
2018-09-11,57.8954,75.2409
2018-09-10,48.5119,54.2520
2018-09-07,52.1046,44.1932
2018-09-06,62.8231,47.0906
2018-09-05,74.6040,65.0300
2018-09-04,80.7464,76.3486
2018-08-31,85.8154,82.4335
2018-08-30,87.6435,83.4569
2018-08-29,88.8710,91.5557
2018-08-28,87.1627,87.9179
2018-08-27,85.2652,87.1393
2018-08-24,84.2864,86.4307
2018-08-23,77.1910,82.2257
2018-08-22,68.4983,84.2028
2018-08-21,52.1042,65.1444
2018-08-20,42.9361,56.1476
2018-08-17,37.6497,35.0205
2018-08-16,43.8610,37.6401
2018-08-15,53.3030,40.2886
2018-08-14,62.6319,53.6543
2018-08-13,68.4616,65.9659
2018-08-10,72.3253,68.2755
2018-08-09,73.8794,71.1434
2018-08-08,70.7955,77.5569
2018-08-07,57.3009,72.9380
2018-08-06,42.2196,61.8915
2018-08-03,31.3954,37.0732
2018-08-02,34.4520,27.6940
2018-08-01,47.8398,29.4191
2018-07-31,64.7444,46.2428
2018-07-30,70.6632,67.8575
2018-07-27,62.3782,80.1328
2018-07-26,45.8468,63.9994
2018-07-25,38.7690,43.0024
2018-07-24,45.6348,30.5385
2018-07-23,61.0162,42.7662
