time,ROCR
2018-12-14,1.0707
2018-12-13,0.9440
2018-12-12,1.2882
2018-12-11,1.0149
2018-12-10,0.7101
2018-12-07,0.6595
2018-12-06,0.6525
2018-12-04,0.5827
2018-12-03,0.7488
2018-11-30,0.8937
2018-11-29,0.8981
2018-11-28,0.9637
2018-11-27,0.8552
2018-11-26,0.8296
2018-11-23,0.8591
2018-11-21,0.9256
2018-11-20,0.8553
2018-11-19,0.8023
2018-11-16,0.7912
2018-11-15,0.8160
2018-11-14,0.7216
2018-11-13,0.8097
2018-11-12,0.9208
2018-11-09,1.0258
2018-11-08,1.0899
2018-11-07,1.1078
2018-11-06,1.2557
2018-11-05,1.2551
2018-11-02,1.0178
2018-11-01,0.9338
2018-10-31,1.0589
2018-10-30,0.8342
2018-10-29,0.8113
2018-10-26,0.8458
2018-10-25,0.8322
2018-10-24,0.7555
2018-10-23,0.8416
2018-10-22,0.7837
2018-10-19,0.9515
2018-10-18,0.9860
2018-10-17,0.9751
2018-10-16,1.0765
2018-10-15,1.1550
2018-10-12,1.1636
2018-10-11,1.1909
2018-10-10,1.1591
2018-10-09,1.0716
2018-10-08,0.9596
2018-10-05,0.9035
2018-10-04,0.9296
2018-10-03,0.9022
2018-10-02,0.8294
2018-10-01,0.8993
2018-09-28,0.9104
2018-09-27,0.8828
2018-09-26,0.9760
2018-09-25,0.9426
2018-09-24,1.0267
2018-09-21,1.0216
2018-09-20,1.1628
2018-09-19,0.9385
2018-09-18,0.9698
2018-09-17,0.9096
2018-09-14,0.9672
2018-09-13,0.8173
2018-09-12,1.1384
2018-09-11,1.1735
2018-09-10,1.2724
2018-09-07,1.2583
2018-09-06,1.2902
2018-09-05,1.2438
2018-09-04,1.2048
2018-08-31,1.2052
2018-08-30,1.4115
2018-08-29,1.4533
2018-08-28,1.2896
2018-08-27,1.3383
2018-08-24,1.3325
2018-08-23,1.1067
2018-08-22,1.0810
2018-08-21,1.3075
2018-08-20,1.1880
2018-08-17,1.0373
2018-08-16,0.9912
2018-08-15,1.0553
2018-08-14,0.8889
2018-08-13,0.9186
2018-08-10,0.9849
2018-08-09,0.9851
2018-08-08,0.9337
2018-08-07,0.8525
2018-08-06,0.9352
2018-08-03,0.9293
2018-08-02,1.0088
2018-08-01,1.0198
2018-07-31,1.0872
2018-07-30,1.0126
2018-07-27,1.0708
2018-07-26,0.9877
2018-07-25,0.9343
2018-07-24,1.0227
2018-07-23,1.0170
2018-07-20,0.8869
2018-07-19,0.8882
2018-07-18,0.9440
2018-07-17,0.8649
2018-07-16,0.9188
2018-07-13,1.0024
2018-07-12,1.0236
2018-07-11,1.0181
2018-07-10,1.0011
2018-07-09,1.0000
2018-07-06,0.9600
2018-07-05,1.0142
2018-07-03,0.9318
2018-07-02,0.9367
2018-06-29,0.9435
2018-06-28,0.9443
2018-06-27,0.9412
2018-06-26,1.0607
2018-06-25,1.0942
2018-06-22,1.0778
2018-06-21,1.1168
2018-06-20,1.0595
2018-06-19,1.0186
2018-06-18,0.9906
2018-06-15,0.9538
2018-06-14,0.9515
2018-06-13,0.8981
2018-06-12,0.9394
2018-06-11,0.9724
2018-06-08,1.0248
2018-06-07,1.0463
2018-06-06,1.0804
2018-06-05,1.0456
2018-06-04,1.0107
2018-06-01,0.9563
2018-05-31,0.8949
2018-05-30,0.9044
2018-05-29,0.8857
2018-05-25,0.9643
2018-05-24,1.0240
2018-05-23,0.9900
2018-05-22,0.9902
2018-05-21,1.0707
2018-05-18,1.0649
2018-05-17,1.0663
2018-05-16,1.1211
2018-05-15,1.2085
2018-05-14,1.1850
2018-05-11,1.1706
2018-05-10,1.1268
2018-05-09,1.1654
2018-05-08,1.0953
2018-05-07,1.0243
2018-05-04,1.0059
2018-05-03,1.0139
2018-05-02,1.0018
2018-05-01,0.9733
2018-04-30,0.9949
2018-04-27,0.9135
2018-04-26,0.8747
2018-04-25,0.8648
2018-04-24,0.8658
2018-04-23,0.8094
2018-04-20,0.9224
2018-04-19,1.1076
2018-04-18,1.1042
2018-04-17,1.1624
2018-04-16,1.2732
2018-04-13,1.1375
2018-04-12,0.9215
2018-04-11,1.0323
2018-04-10,1.0013
2018-04-09,0.8788
2018-04-06,0.8850
2018-04-05,0.9215
2018-04-04,0.7897
2018-04-03,0.7733
2018-04-02,0.8458
2018-03-29,0.8657
2018-03-28,0.8595
2018-03-27,0.8857
2018-03-26,0.8922
2018-03-23,0.9209
2018-03-22,0.9383
2018-03-21,0.9963
2018-03-20,1.0080
2018-03-19,1.0113
2018-03-16,1.0183
2018-03-15,1.0356
2018-03-14,1.0208
2018-03-13,1.0000
2018-03-12,1.0164
2018-03-09,1.0263
2018-03-08,0.9745
2018-03-07,1.0178
2018-03-06,1.1326
2018-03-05,1.0829
2018-03-02,0.9744
2018-03-01,0.9803
2018-02-28,0.9149
2018-02-27,0.8202
2018-02-26,0.9146
2018-02-23,0.9150
2018-02-22,0.8991
2018-02-21,0.9209
2018-02-20,0.9475
2018-02-16,0.8673
2018-02-15,0.9458
2018-02-14,0.9675
2018-02-13,0.9303
2018-02-12,1.1042
2018-02-09,1.1545
2018-02-08,0.9992
2018-02-07,0.8963
2018-02-06,0.9228
2018-02-05,0.7344
2018-02-02,0.6793
2018-02-01,0.8171
2018-01-31,0.8507
2018-01-30,0.8243
2018-01-29,0.8662
2018-01-26,0.9222
2018-01-25,0.8778
2018-01-24,0.9492
2018-01-23,1.0005
2018-01-22,1.2296
2018-01-19,1.0745
