timestamp,open,high,low,close,volume
2019-11-04,83.4000,83.4300,79.6300,79.7900,4628649
2019-11-01,84.3700,85.2900,81.8300,82.0000,5197900
2019-10-31,90.4400,90.4400,83.6300,84.4500,7036300
2019-10-30,84.3500,90.0000,83.0000,88.8900,14613800
2019-10-29,82.9600,88.8800,80.1000,81.9900,32782100
2019-10-28,101.0000,108.1700,97.8500,105.4100,8359600
2019-10-25,101.7700,102.0000,97.7390,100.8100,3302200
2019-10-24,96.5000,103.7700,96.1500,101.7000,4696000
2019-10-23,102.7000,105.6700,97.2500,97.9000,4719000
2019-10-22,110.0000,112.8800,105.5500,106.4000,2318200
2019-10-21,113.6000,113.6090,106.0100,110.1300,3585700
2019-10-18,115.0000,115.3900,107.9100,109.9900,3818800
2019-10-17,123.9900,124.5800,116.8600,117.3500,2838700
2019-10-16,122.0000,126.4900,121.7770,123.9200,1961900
2019-10-15,124.2700,125.4000,120.5300,122.0500,2635900
2019-10-14,128.4500,128.4600,124.6300,126.3100,2126900
2019-10-11,136.0100,136.8500,130.6400,131.3900,2441000
2019-10-10,138.5000,138.9500,134.9100,136.0000,1735600
2019-10-09,143.2600,143.7020,137.5600,139.3500,1477600
2019-10-08,143.0000,143.9400,140.1800,142.7300,1123400
2019-10-07,144.5000,145.1700,142.0300,145.0600,1319900
2019-10-04,146.0600,147.1700,144.2700,145.7200,1373500
2019-10-03,142.0600,146.9250,141.3200,145.4400,1160600
2019-10-02,144.9600,145.2500,141.1000,143.3000,1542300
2019-10-01,148.6500,149.4000,143.7000,146.4200,1491200
2019-09-30,150.6900,151.0000,145.6800,148.6200,1667100
2019-09-27,151.0000,153.8100,148.9000,151.6600,1989400
2019-09-26,160.5100,160.6000,148.6000,154.3400,8074700
2019-09-25,139.3000,142.9000,133.0800,138.3200,2531600
2019-09-24,146.7400,147.0000,139.0700,142.9900,2316900
2019-09-23,152.6600,154.2700,146.2900,148.2200,2396600
2019-09-20,154.9700,156.5600,153.4400,155.2600,1293800
2019-09-19,156.8400,157.1000,152.5000,154.9200,1570900
2019-09-18,160.0100,160.4900,149.0000,153.9900,3033300
2019-09-17,160.0000,161.4900,158.9000,160.3100,1558800
2019-09-16,155.8400,159.8500,154.5500,158.9700,1766800
2019-09-13,155.2900,156.9300,153.5770,155.9800,1810300
2019-09-12,151.6000,154.4100,149.1400,152.9600,1520100
2019-09-11,147.2300,152.8000,147.0100,151.8100,1869500
2019-09-10,147.0000,147.5000,142.9800,146.9000,1885600
2019-09-09,153.1400,153.9260,147.2540,149.5300,3097900
2019-09-06,155.8400,157.6250,151.6800,154.9900,3560600
2019-09-05,162.0500,167.1500,160.5200,160.9700,2281600
2019-09-04,165.3600,165.5000,161.6440,163.6800,2143100
2019-09-03,167.6300,169.3100,162.2100,163.1500,2425400
2019-08-30,168.6700,172.2900,166.7000,167.6300,4145800
2019-08-29,161.7500,166.7200,159.0000,165.4800,3764700
2019-08-28,158.2800,162.5000,155.4000,160.3100,3708100
2019-08-27,159.2800,161.4250,155.3000,157.0200,4423400
2019-08-26,153.8000,155.4000,150.3000,155.1300,3650400
2019-08-23,150.0000,151.6400,146.2600,146.8500,2214300
2019-08-22,151.0400,152.2100,146.1000,150.9900,2930200
2019-08-21,155.7500,155.7500,149.1340,151.9500,3659700
2019-08-20,155.0000,158.2000,151.5300,153.9700,7051800
2019-08-19,147.3900,148.5000,140.7700,144.5100,3840600
2019-08-16,144.2100,148.5400,136.2700,144.7700,5867000
2019-08-15,163.0000,164.1400,137.1073,144.2000,9600100
2019-08-14,165.7500,166.7563,161.0600,162.9000,2246600
2019-08-13,169.0000,171.9800,165.5800,167.2900,3048100
2019-08-12,164.5300,172.1750,162.5000,169.1100,3973800
2019-08-09,162.5400,166.3000,162.0500,164.3700,2756400
2019-08-08,168.5700,168.6800,158.0000,162.7000,5106000
2019-08-07,164.0000,167.4450,160.5500,167.0000,5858000
2019-08-06,180.1000,181.7500,160.6200,161.2400,8407700
2019-08-05,173.1000,178.2300,170.9900,175.9400,5665500
2019-08-02,177.6000,181.9100,175.0500,177.1100,5806900
2019-08-01,175.1400,183.9900,172.0000,176.0400,15083500
2019-07-31,195.7600,207.0000,193.4890,196.5100,11930600
2019-07-30,186.3400,216.8991,183.5000,194.7600,19060400
2019-07-29,228.9000,233.8700,201.0000,222.1300,16047000
2019-07-26,235.5600,239.7100,215.5000,234.9000,16531300
