time,SlowD,SlowK
2019-03-27,27.0466,26.2063
2019-03-26,32.1148,25.0562
2019-03-25,45.4004,29.8774
2019-03-22,61.8119,41.4108
2019-03-21,77.5299,64.9128
2019-03-20,86.1691,79.1122
2019-03-19,90.0083,88.5648
2019-03-18,86.5846,90.8305
2019-03-15,79.1193,90.6295
2019-03-14,67.4830,78.2938
2019-03-13,58.0282,68.4346
2019-03-12,52.4743,55.7204
2019-03-11,56.4383,49.9295
2019-03-08,60.6521,51.7730
2019-03-07,62.4541,67.6123
2019-03-06,55.7016,62.5709
2019-03-05,55.4206,57.1793
2019-03-04,62.9106,47.3547
2019-03-01,76.9503,61.7280
2019-02-28,82.3002,79.6491
2019-02-27,76.4610,89.4737
2019-02-26,61.0745,77.7778
2019-02-25,49.5867,62.1315
2019-02-22,41.6257,43.3143
2019-02-21,39.2068,43.3143
2019-02-20,38.3708,38.2486
2019-02-19,39.5862,36.0574
2019-02-15,38.9466,40.8065
2019-02-14,34.7168,41.8948
2019-02-13,31.7418,34.1383
2019-02-12,35.0582,28.1173
2019-02-11,45.0436,32.9697
2019-02-08,56.2541,44.0875
2019-02-07,69.0238,58.0735
2019-02-06,76.7847,66.6014
2019-02-05,79.9559,82.3966
2019-02-04,74.4143,81.3562
2019-02-01,72.3042,76.1150
2019-01-31,73.2377,65.7718
2019-01-30,76.4147,75.0258
2019-01-29,66.5113,78.9154
2019-01-28,47.1352,75.3030
2019-01-25,25.1422,45.3155
2019-01-24,17.5059,20.7872
2019-01-23,27.7896,9.3239
2019-01-22,48.6548,22.4067
2019-01-18,70.8632,51.6380
2019-01-17,82.7044,71.9196
2019-01-16,89.4483,89.0319
2019-01-15,88.9985,87.1619
2019-01-14,83.9218,92.1511
2019-01-11,75.9255,87.6825
2019-01-10,68.4929,71.9316
2019-01-09,69.6663,68.1624
2019-01-08,72.7136,65.3846
2019-01-07,74.2176,75.4519
2019-01-04,74.7674,77.3041
2019-01-03,71.9405,69.8967
2019-01-02,71.1652,77.1015
2018-12-31,62.0510,68.8234
2018-12-28,49.5534,67.5707
2018-12-27,34.0287,49.7588
2018-12-26,20.4686,31.3306
2018-12-24,14.6169,20.9967
2018-12-21,12.8005,9.0784
2018-12-20,21.3794,13.7757
2018-12-19,29.2265,15.5475
2018-12-18,44.2054,34.8148
2018-12-17,56.5751,37.3173
2018-12-14,73.8268,60.4842
2018-12-13,82.2354,71.9237
2018-12-12,81.5723,89.0726
2018-12-11,67.0694,85.7097
2018-12-10,50.8909,69.9346
2018-12-07,40.1699,45.5640
2018-12-06,41.1984,37.1742
2018-12-04,45.4395,37.7716
2018-12-03,46.1760,48.6493
2018-11-30,39.6532,49.8976
2018-11-29,30.6177,39.9810
2018-11-28,28.9289,29.0809
2018-11-27,33.9110,22.7912
2018-11-26,37.5074,34.9148
2018-11-23,33.7588,44.0271
2018-11-21,27.3352,33.5803
2018-11-20,24.0852,23.6690
2018-11-19,22.1410,24.7563
2018-11-16,18.0643,23.8304
2018-11-15,17.2236,17.8363
2018-11-14,24.4699,12.5263
2018-11-13,41.7863,21.3082
2018-11-12,61.3453,39.5750
2018-11-09,79.1066,64.4756
2018-11-08,87.9237,79.9853
2018-11-07,89.5379,92.8588
2018-11-06,82.5615,90.9270
2018-11-05,68.7928,84.8279
2018-11-02,50.6843,71.9294
2018-11-01,30.6757,49.6210
2018-10-31,16.7599,30.5026
2018-10-30,9.3236,11.9036
2018-10-29,9.3965,7.8735
2018-10-26,10.8333,8.1937
2018-10-25,14.0170,12.1224
2018-10-24,18.3947,12.1838
2018-10-23,25.4946,17.7448
2018-10-22,32.8474,25.2557
2018-10-19,44.1265,33.4834
2018-10-18,59.6159,39.8031
2018-10-17,72.5996,59.0931
2018-10-16,75.4342,79.9515
2018-10-15,68.9080,78.7541
2018-10-12,69.3291,67.5971
2018-10-11,74.9109,60.3728
2018-10-10,80.4046,80.0174
2018-10-09,76.9842,84.3424
2018-10-08,68.5636,76.8540
2018-10-05,63.0405,69.7563
2018-10-04,57.3777,59.0805
2018-10-03,51.0114,60.2846
2018-10-02,42.9384,52.7680
2018-10-01,39.8544,39.9816
2018-09-28,50.0763,36.0656
2018-09-27,65.2014,43.5161
2018-09-26,79.8978,70.6471
2018-09-25,83.1839,81.4410
2018-09-24,85.0823,87.6052
2018-09-21,83.8276,80.5056
2018-09-20,82.3829,87.1361
2018-09-19,70.4732,83.8410
2018-09-18,58.6723,76.1715
2018-09-17,53.7601,51.4073
2018-09-14,57.1191,48.4380
2018-09-13,54.3444,61.4349
2018-09-12,39.8793,61.4843
2018-09-11,25.7968,40.1141
2018-09-10,24.6061,18.0397
2018-09-07,33.2427,19.2366
2018-09-06,44.3292,36.5421
2018-09-05,52.0164,43.9495
2018-09-04,58.8394,52.4960
2018-08-31,66.7341,59.6037
2018-08-30,73.0528,64.4185
2018-08-29,79.7899,76.1801
2018-08-28,80.8468,78.5597
2018-08-27,79.8975,84.6298
2018-08-24,80.0256,79.3510
2018-08-23,83.1882,75.7117
2018-08-22,85.8336,85.0142
2018-08-21,82.9101,88.8386
2018-08-20,69.8180,83.6479
2018-08-17,52.3345,76.2438
2018-08-16,29.8480,49.5624
2018-08-15,18.3324,31.1972
2018-08-14,14.4781,8.7843
2018-08-13,17.6984,15.0156
2018-08-10,19.5034,19.6344
2018-08-09,18.2085,18.4453
2018-08-08,18.0691,20.4304
2018-08-07,19.7388,15.7497
2018-08-06,29.5739,18.0272
2018-08-03,39.2992,25.4394
2018-08-02,44.7150,45.2550
2018-08-01,38.8088,47.2033
2018-07-31,30.5043,41.6868
2018-07-30,20.1496,27.5362
2018-07-27,16.0036,22.2898
2018-07-26,13.9053,10.6229
2018-07-25,15.9670,15.0982
2018-07-24,13.1870,15.9948
2018-07-23,10.2583,16.8080
2018-07-20,6.7612,6.7584
2018-07-19,6.6480,7.2084
2018-07-18,5.8082,6.3169
2018-07-17,6.5943,6.4186
2018-07-16,7.3831,4.6891
2018-07-13,10.3534,8.6751
2018-07-12,15.5481,8.7851
2018-07-11,27.4750,13.5999
2018-07-10,44.2785,24.2593
2018-07-09,61.6559,44.5660
2018-07-06,69.0961,64.0104
2018-07-05,65.3745,76.3914
2018-07-03,49.4643,66.8866
2018-07-02,32.4319,52.8455
2018-06-29,20.5527,28.6609
2018-06-28,22.3189,15.7892
2018-06-27,38.4671,17.2081
2018-06-26,58.6333,33.9593
2018-06-25,74.2119,64.2341
2018-06-22,76.6758,77.7067
2018-06-21,72.0748,80.6950
2018-06-20,62.8604,71.6256
2018-06-19,52.2633,63.9039
2018-06-18,40.5165,53.0515
2018-06-15,31.8694,39.8345
2018-06-14,30.6415,28.6636
2018-06-13,38.8055,27.1099
2018-06-12,55.0887,36.1509
2018-06-11,73.0344,53.1557
2018-06-08,82.5096,75.9594
2018-06-07,75.9333,89.9882
2018-06-06,55.8034,81.5812
2018-06-05,36.6074,56.2303
2018-06-04,24.5276,29.5986
2018-06-01,20.0659,23.9933
2018-05-31,21.3654,19.9910
2018-05-30,31.4085,16.2135
2018-05-29,50.0922,27.8917
2018-05-25,67.0884,50.1203
2018-05-24,74.8314,72.2646
2018-05-23,67.3573,78.8804
2018-05-22,48.8904,73.3491
2018-05-21,25.8330,49.8424
2018-05-18,14.1201,23.4796
2018-05-17,17.1437,4.1768
2018-05-16,31.1319,14.7038
2018-05-15,43.2475,32.5503
2018-05-14,43.2775,46.1417
2018-05-11,40.6667,51.0505
2018-05-10,38.4928,32.6404
2018-05-09,49.6293,38.3093
2018-05-08,58.5618,44.5285
2018-05-07,62.4814,66.0502
2018-05-04,58.8943,65.1066
2018-05-03,50.4184,56.2875
2018-05-02,40.5146,55.2888
2018-05-01,23.7780,39.6790
2018-04-30,15.0354,26.5760
2018-04-27,10.4427,5.0789
2018-04-26,13.9941,13.4514
2018-04-25,17.2038,12.7979
2018-04-24,26.9806,15.7329
2018-04-23,40.9973,23.0807
2018-04-20,55.9838,42.1283
2018-04-19,68.6577,57.7829
2018-04-18,79.5303,68.0403
2018-04-17,85.3904,80.1500
2018-04-16,84.4078,90.4006
2018-04-13,71.2306,85.6207
2018-04-12,55.9941,77.2022
2018-04-11,42.4002,50.8689
2018-04-10,38.4653,39.9112
2018-04-09,33.5524,36.4204
2018-04-06,23.8569,39.0643
2018-04-05,15.4343,25.1726
2018-04-04,12.0416,7.3337
2018-04-03,14.5309,13.7965
2018-04-02,14.8777,14.9945
2018-03-29,19.1891,14.8016
2018-03-28,24.0275,14.8371
2018-03-27,26.3135,27.9287
2018-03-26,19.6702,29.3167
2018-03-23,12.5427,21.6950
2018-03-22,6.5906,7.9988
2018-03-21,6.2516,7.9343
2018-03-20,7.3098,3.8387
2018-03-19,13.0727,6.9818
2018-03-16,24.0181,11.1088
2018-03-15,38.3291,21.1275
2018-03-14,51.3603,39.8179
2018-03-13,56.4979,54.0420
2018-03-12,59.9981,60.2211
2018-03-09,66.7830,55.2306
2018-03-08,77.6091,64.5424
2018-03-07,83.7117,80.5761
2018-03-06,79.3270,87.7088
2018-03-05,66.4371,82.8501
2018-03-02,47.9533,67.4222
2018-03-01,33.9255,49.0390
2018-02-28,29.6023,27.3988
2018-02-27,36.2314,25.3387
2018-02-26,46.4670,36.0694
2018-02-23,48.3310,47.2863
2018-02-22,46.0167,56.0454
2018-02-21,37.9229,41.6614
2018-02-20,37.1739,40.3434
2018-02-16,39.1236,31.7640
2018-02-15,47.3275,39.4143
2018-02-14,57.5155,46.1927
2018-02-13,66.8006,56.3755
2018-02-12,73.4142,69.9784
2018-02-09,71.4112,74.0480
2018-02-08,60.0041,76.2161
2018-02-07,39.5650,63.9694
2018-02-06,21.9098,39.8266
2018-02-05,12.1997,14.8988
2018-02-02,12.6564,11.0041
2018-02-01,15.9329,10.6961
2018-01-31,21.4257,16.2691
2018-01-30,29.7278,20.8333
2018-01-29,42.9716,27.1748
2018-01-26,63.0752,41.1752
2018-01-25,81.6468,60.5647
2018-01-24,92.9788,87.4858
2018-01-23,91.3890,96.8898
