time,SlowD,SlowK
2019-03-27,19.7276,14.8559
2019-03-26,30.5045,11.7349
2019-03-25,50.3870,32.5920
2019-03-22,63.0228,47.1866
2019-03-21,74.1695,71.3826
2019-03-20,76.3989,70.4991
2019-03-19,78.1099,80.6267
2019-03-18,74.2713,78.0708
2019-03-15,69.7219,75.6321
2019-03-14,59.5947,69.1110
2019-03-13,47.4675,64.4225
2019-03-12,33.0699,45.2505
2019-03-11,30.7707,32.7296
2019-03-08,35.6182,21.2295
2019-03-07,51.7619,38.3531
2019-03-06,58.6675,47.2720
2019-03-05,62.1835,69.6607
2019-03-04,55.0191,59.0698
2019-03-01,57.7912,57.8200
2019-02-28,64.9005,48.1675
2019-02-27,77.9691,67.3863
2019-02-26,84.2138,79.1478
2019-02-25,86.5026,87.3731
2019-02-22,87.3288,86.1204
2019-02-21,85.7071,86.0143
2019-02-20,84.3102,89.8516
2019-02-19,81.4448,81.2553
2019-02-15,81.7202,81.8236
2019-02-14,82.1361,81.2554
2019-02-13,80.9587,82.0817
2019-02-12,80.6045,83.0713
2019-02-11,81.0133,77.7233
2019-02-08,84.5314,81.0190
2019-02-07,87.2471,84.2977
2019-02-06,87.4262,88.2776
2019-02-05,87.4760,89.1660
2019-02-04,87.9788,84.8351
2019-02-01,89.2381,88.4267
2019-01-31,88.0274,90.6747
2019-01-30,87.4881,88.6129
2019-01-29,89.2379,84.7945
2019-01-28,84.3795,89.0569
2019-01-25,75.8169,93.8623
2019-01-24,64.2270,70.2194
2019-01-23,66.0298,63.3689
2019-01-22,68.9658,59.0926
2019-01-18,72.9240,75.6278
2019-01-17,74.0554,72.1770
2019-01-16,79.8618,70.9674
2019-01-15,88.2444,79.0218
2019-01-14,92.5445,89.5961
2019-01-11,88.0923,96.1153
2019-01-10,74.8889,91.9220
2019-01-09,54.5515,76.2396
2019-01-08,41.7348,56.5052
2019-01-07,41.3115,30.9098
2019-01-04,58.4329,37.7894
2019-01-03,76.3274,55.2354
2019-01-02,83.8435,82.2739
2018-12-31,73.1306,91.4729
2018-12-28,49.8194,77.7837
2018-12-27,25.7505,50.1351
2018-12-26,11.3400,21.5393
2018-12-24,5.9283,5.5770
2018-12-21,6.7070,6.9037
2018-12-20,7.2482,5.3043
2018-12-19,12.3355,7.9131
2018-12-18,21.6008,8.5273
2018-12-17,32.8616,20.5662
2018-12-14,39.6834,35.7089
2018-12-13,37.6251,42.3096
2018-12-12,33.3483,41.0318
2018-12-11,27.0163,29.5338
2018-12-10,32.9024,29.4793
2018-12-07,46.9026,22.0358
2018-12-06,70.9125,47.1920
2018-12-04,85.8094,71.4801
2018-12-03,85.4762,94.0655
2018-11-30,70.7712,91.8827
2018-11-29,49.2019,70.4803
2018-11-28,33.1981,49.9505
2018-11-27,22.0987,27.1749
2018-11-26,17.2486,22.4688
2018-11-23,17.0030,16.6525
2018-11-21,20.5469,12.6245
2018-11-20,24.7013,21.7319
2018-11-19,21.1613,27.2843
2018-11-16,13.8074,25.0877
2018-11-15,13.5196,11.1117
2018-11-14,27.8363,5.2228
2018-11-13,54.1582,24.2245
2018-11-12,76.2835,54.0618
2018-11-09,87.1037,84.1884
2018-11-08,87.2609,90.6003
2018-11-07,86.3038,86.5225
2018-11-06,87.0925,84.6598
2018-11-05,88.9176,87.7291
2018-11-02,87.0228,88.8886
2018-11-01,81.7921,90.1351
2018-10-31,73.5953,82.0447
2018-10-30,65.1500,73.1967
2018-10-29,56.9389,65.5446
2018-10-26,44.6516,56.7087
2018-10-25,31.3864,48.5633
2018-10-24,18.7128,28.6828
2018-10-23,18.7945,16.9129
2018-10-22,27.0464,10.5427
2018-10-19,36.2450,28.9279
2018-10-18,33.4638,41.6685
2018-10-17,22.2612,38.1387
2018-10-16,11.8096,20.5843
2018-10-15,8.6534,8.0606
2018-10-12,10.6038,6.7839
2018-10-11,14.1061,11.1156
2018-10-10,15.5779,13.9121
2018-10-09,17.3047,17.2906
2018-10-08,21.7901,15.5312
2018-10-05,34.7083,19.0925
2018-10-04,49.0241,30.7467
2018-10-03,54.4297,54.2858
2018-10-02,41.8734,62.0398
2018-10-01,23.5352,46.9636
2018-09-28,12.6981,16.6167
2018-09-27,14.3915,7.0253
2018-09-26,22.6818,14.4523
2018-09-25,28.4259,21.6968
2018-09-24,29.7864,31.8962
2018-09-21,25.6669,31.6849
2018-09-20,26.1203,25.7783
2018-09-19,38.7347,19.5374
2018-09-18,54.4069,33.0453
2018-09-17,69.3320,63.6213
2018-09-14,73.1289,66.5540
2018-09-13,80.3514,77.8208
2018-09-12,83.4167,75.0119
2018-09-11,86.6653,88.2217
2018-09-10,82.1596,87.0166
2018-09-07,73.1815,84.7577
2018-09-06,61.4643,74.7045
2018-09-05,57.0919,60.0823
2018-09-04,61.3322,49.6061
2018-08-31,71.8900,61.5873
2018-08-30,71.8770,72.8032
2018-08-29,60.3937,81.2794
2018-08-28,38.0480,61.5484
2018-08-27,27.2095,38.3533
2018-08-24,31.0344,14.2422
2018-08-23,49.2773,29.0329
2018-08-22,62.0292,49.8280
2018-08-21,63.4991,68.9709
2018-08-20,54.6674,67.2886
2018-08-17,40.9771,54.2377
2018-08-16,28.5282,42.4758
2018-08-15,21.5711,26.2179
2018-08-14,27.7692,16.8908
2018-08-13,46.3963,21.6046
2018-08-10,68.4436,44.8122
2018-08-09,82.4573,72.7722
2018-08-08,81.7543,87.7463
2018-08-07,70.0657,86.8533
2018-08-06,56.2641,70.6633
2018-08-03,48.6440,52.6804
2018-08-02,51.9133,45.4485
2018-08-01,61.8607,47.8032
2018-07-31,76.1267,62.4880
2018-07-30,84.2812,75.2908
2018-07-27,79.0935,90.6013
2018-07-26,60.8641,86.9515
2018-07-25,40.9138,59.7278
2018-07-24,36.5899,35.9129
2018-07-23,47.3614,27.1006
2018-07-20,64.7036,46.7562
2018-07-19,75.6512,68.2274
2018-07-18,78.9265,79.1271
2018-07-17,75.8750,79.5992
2018-07-16,74.1973,78.0533
2018-07-13,74.4245,69.9725
2018-07-12,82.0937,74.5663
2018-07-11,88.7875,78.7347
2018-07-10,88.6027,92.9801
2018-07-09,79.9450,94.6478
2018-07-06,65.2706,78.1801
2018-07-05,55.0211,67.0071
2018-07-03,42.2680,50.6246
2018-07-02,30.7776,47.4317
2018-06-29,18.9795,28.7476
2018-06-28,17.3199,16.1536
2018-06-27,19.3760,12.0373
2018-06-26,23.7730,23.7689
2018-06-25,23.7352,22.3220
2018-06-22,29.5508,25.2282
2018-06-21,38.5903,23.6553
2018-06-20,53.9571,39.7688
2018-06-19,67.8485,52.3468
2018-06-18,78.9619,69.7558
2018-06-15,85.0450,81.4428
2018-06-14,88.4145,85.6869
2018-06-13,91.7078,88.0052
2018-06-12,95.3166,91.5513
2018-06-11,97.8586,95.5669
2018-06-08,96.4761,98.8315
2018-06-07,93.2541,99.1773
2018-06-06,82.0531,91.4194
2018-06-05,71.2656,89.1657
2018-06-04,53.5905,65.5742
2018-06-01,42.7245,59.0569
2018-05-31,31.7029,36.1405
2018-05-30,31.5181,32.9760
2018-05-29,33.7114,25.9923
2018-05-25,45.4199,35.5860
2018-05-24,52.0155,39.5560
2018-05-23,61.2382,61.1178
2018-05-22,61.8739,55.3728
2018-05-21,69.8923,67.2241
2018-05-18,77.2722,63.0248
2018-05-17,87.3773,79.4281
2018-05-16,93.5328,89.3636
2018-05-15,96.3126,93.3402
2018-05-14,96.5215,97.8945
2018-05-11,94.2191,97.7032
2018-05-10,91.5233,93.9668
2018-05-09,88.4295,90.9874
2018-05-08,83.0383,89.6158
